priority,person_id,name_zh,name_en,period,importance,coverage_status,content_count,person_source_id,primary_source_status,specialist_source_status,relation_review_status,next_action
1,cheng-yi,程颐,Cheng Yi,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhu-xi,朱熹,Zhu Xi,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,lu-jiuyuan,陆九渊,Lu Jiuyuan,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,chen-liang,陈亮,Chen Liang,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,ye-shi,叶适,Ye Shi,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,chen-xianzhang,陈献章,Chen Xianzhang,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-yangming,王阳明,Wang Yangming,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhan-ruoshui,湛若水,Zhan Ruoshui,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-gen,王艮,Wang Gen,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-ji,王畿,Wang Ji,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,li-zhi,李贽,Li Zhi,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,liu-zongzhou,刘宗周,Liu Zongzhou,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-daiyu,王岱舆,Wang Daiyu,ming-qing,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,huang-zongxi,黄宗羲,Huang Zongxi,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,gu-yanwu,顾炎武,Gu Yanwu,ming-qing,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-fuzhi,王夫之,Wang Fuzhi,ming-qing,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,yan-yuan,颜元,Yan Yuan,ming-qing,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,liu-zhi,刘智,Liu Zhi,ming-qing,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,dai-zhen,戴震,Dai Zhen,ming-qing,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhang-xuecheng,章学诚,Zhang Xuecheng,ming-qing,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,tan-sitong,谭嗣同,Tan Sitong,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,yan-fu,严复,Yan Fu,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,kang-youwei,康有为,Kang Youwei,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,liang-qichao,梁启超,Liang Qichao,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhang-taiyan,章太炎,Zhang Taiyan,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,sun-yat-sen,孙中山,Sun Yat-sen,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,cai-yuanpei,蔡元培,Cai Yuanpei,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,hu-shi,胡适,Hu Shi,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,liang-shuming,梁漱溟,Liang Shuming,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,xiong-shili,熊十力,Xiong Shili,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,ma-yifu,马一浮,Ma Yifu,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhang-dongsun,张东荪,Zhang Dongsun,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhang-junmai,张君劢,Zhang Junmai,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,feng-youlan,冯友兰,Feng Youlan,late-qing-republic,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,jin-yuelin,金岳霖,Jin Yuelin,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,qian-mu,钱穆,Qian Mu,late-qing-republic,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,mao-zedong,毛泽东,Mao Zedong,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,tang-junyi,唐君毅,Tang Junyi,prc-modern,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,fang-dongmei,方东美,Thomé H. Fang,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,mou-zongsan,牟宗三,Mou Zongsan,prc-modern,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,xu-fuguan,徐复观,Xu Fuguan,prc-modern,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,feng-qi,冯契,Feng Qi,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhang-dainian,张岱年,Zhang Dainian,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,lao-sze-kwang,劳思光,Lao Sze-kwang,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-ruoshui,王若水,Wang Ruoshui,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,li-zehou,李泽厚,Li Zehou,prc-modern,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,tu-weiming,杜维明,Tu Weiming,contemporary,core,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,cheng-chung-ying,成中英,Cheng Chung-ying,contemporary,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,chen-lai,陈来,Chen Lai,contemporary,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,yang-guorong,杨国荣,Yang Guorong,contemporary,core,position-research-pending,0,ecnu-yang-guorong,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhao-tingyang,赵汀阳,Zhao Tingyang,contemporary,core,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,guan-zhong,管仲,Guan Zhong,classical,extended,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,sunzi,孙子,Sunzi,classical,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,yan-hui,颜回,Yan Hui,classical,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,zengzi,曾子,Zengzi,classical,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,zisi,子思,Zisi,classical,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,yang-zhu,杨朱,Yang Zhu,classical,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,liezi,列子,Liezi,classical,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,hui-shi,惠施,Hui Shi,classical,extended,position-research-pending,0,sep-zhuangzi,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,sun-bin,孙膑,Sun Bin,classical,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,gaozi,告子,Gaozi,classical,extended,position-research-pending,0,sep-mencius,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,xu-xing,许行,Xu Xing,classical,extended,position-research-pending,0,sep-mencius,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,shen-dao,慎到,Shen Dao,classical,extended,position-research-pending,0,sep-legalism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,lu-buwei,吕不韦,Lü Buwei,classical,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,li-si,李斯,Li Si,classical,extended,position-research-pending,0,sep-legalism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,sima-tan,司马谈,Sima Tan,early-imperial,extended,position-research-pending,0,sep-legalism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,huan-tan,桓谭,Huan Tan,early-imperial,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,ban-zhao,班昭,Ban Zhao,early-imperial,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,wang-fu,王符,Wang Fu,early-imperial,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,ruan-ji,阮籍,Ruan Ji,medieval,extended,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,xiang-xiu,向秀,Xiang Xiu,medieval,extended,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,pei-wei,裴頠,Pei Wei,medieval,extended,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,zhi-dun,支遁,Zhi Dun,medieval,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,du-shun,杜顺,Dushun,medieval,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,kuiji,窥基,Kuiji,medieval,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,shenxiu,神秀,Shenxiu,medieval,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,shenhui,神会,Shenhui,medieval,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,liu-zongyuan,柳宗元,Liu Zongyuan,medieval,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,huangbo-xiyun,黄檗希运,Huangbo Xiyun,medieval,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,su-shi,苏轼,Su Shi,song-yuan,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,hu-hong,胡宏,Hu Hong,song-yuan,extended,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,zhang-shi,张栻,Zhang Shi,song-yuan,extended,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,lv-zuqian,吕祖谦,Lü Zuqian,song-yuan,extended,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,xu-heng,许衡,Xu Heng,song-yuan,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,wang-yinglin,王应麟,Wang Yinglin,song-yuan,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,wu-cheng,吴澄,Wu Cheng,song-yuan,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,wu-yubi,吴与弼,Wu Yubi,ming-qing,extended,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,qian-dehong,钱德洪,Qian Dehong,ming-qing,extended,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,luo-rufang,罗汝芳,Luo Rufang,ming-qing,extended,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,ma-zhu,马注,Ma Zhu,ming-qing,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,li-gong,李塨,Li Gong,ming-qing,extended,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,jiao-xun,焦循,Jiao Xun,ming-qing,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,ruan-yuan,阮元,Ruan Yuan,ming-qing,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,gong-zizhen,龚自珍,Gong Zizhen,late-qing-republic,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,wei-yuan,魏源,Wei Yuan,late-qing-republic,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,he-zhen,何震,He Zhen,late-qing-republic,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,li-da,李达,Li Da,prc-modern,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,ai-siqi,艾思奇,Ai Siqi,prc-modern,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,he-lin,贺麟,He Lin,late-qing-republic,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,zhang-shiying,张世英,Zhang Shiying,prc-modern,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,jiang-qing,蒋庆,Jiang Qing,contemporary,extended,position-research-pending,0,sep-modern-confucianism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,huang-yong,黄勇,Yong Huang,contemporary,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,wang-hui,汪晖,Wang Hui,contemporary,extended,position-research-pending,0,mou-history,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,robin-wang,王蓉蓉,Robin R. Wang,contemporary,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,li-chenyang,李晨阳,Li Chenyang,contemporary,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
2,bai-tongdong,白彤东,Bai Tongdong,contemporary,extended,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,fuxi,伏羲,Fuxi,legendary-antiquity,context,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,shennong,神农,Shennong,legendary-antiquity,context,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,huangdi,黄帝,Yellow Emperor,legendary-antiquity,context,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,yao,尧,Yao,legendary-antiquity,context,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,shun,舜,Shun,legendary-antiquity,context,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,yu-the-great,禹,Yu the Great,legendary-antiquity,context,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,king-wen-zhou,周文王,King Wen of Zhou,legendary-antiquity,context,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
3,bodhidharma,菩提达摩,Bodhidharma,medieval,context,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
