id,person_id,content_type,active_year,sort_order,is_introductory,domain_ids,review_status,reviewer,reviewed_at
zhi-dun-freedom-not-mere-satisfaction,zhi-dun,position,350,1,true,mind-human-nature;ethics-cultivation;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
huiyuan-monastic-autonomy,huiyuan,position,400,1,true,politics-governance;religion-transcendence;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
sengzhao-emptiness-not-annihilation,sengzhao,position,410,1,true,tiandao-metaphysics;knowledge-method,source-reviewed,codex-medieval-source-review,2026-07-17
sengzhao-motion-and-stillness-nondual,sengzhao,position,410,2,false,tiandao-metaphysics;knowledge-method,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
daosheng-all-beings-can-become-buddhas,daosheng,position,430,1,true,religion-transcendence;mind-human-nature,source-reviewed,codex-medieval-source-review,2026-07-17
fan-zhen-mind-function-of-body,fan-zhen,position,490,1,true,mind-human-nature;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
bodhidharma-two-entrances-practice,bodhidharma,position,520,1,true,religion-transcendence;ethics-cultivation;mind-human-nature,source-reviewed,codex-zen-modern-source-review,2026-07-17
zhiyi-three-thousand-in-one-thought,zhiyi,position,594,1,true,tiandao-metaphysics;mind-human-nature;religion-transcendence,source-reviewed,codex-medieval-source-review,2026-07-17
jizang-two-truths-pedagogical,jizang,position,600,1,true,knowledge-method;names-language;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
wang-tong-learning-serves-governance,wang-tong-sui,position,605,1,true,politics-governance;education-hermeneutics,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
du-shun-emptiness-form-nonobstruction,du-shun,position,620,1,true,tiandao-metaphysics;religion-transcendence,source-reviewed,codex-medieval-source-review-2,2026-07-17
lv-cai-test-divination-against-classics,lv-cai,position,640,1,true,knowledge-method;nature-technology,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
xuanzang-color-not-apart-consciousness,xuanzang,position,650,1,true,knowledge-method;mind-human-nature;names-language,source-reviewed,codex-medieval-source-review-2,2026-07-17
kuiji-consciousness-only-not-nihilism,kuiji,position,680,1,true,knowledge-method;mind-human-nature;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
fazang-dependent-arising-golden-lion,fazang,position,700,1,true,tiandao-metaphysics;religion-transcendence,source-reviewed,codex-medieval-source-review,2026-07-17
fazang-one-is-all-nonobstruction,fazang,position,700,2,false,tiandao-metaphysics;religion-transcendence;knowledge-method,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
huineng-intrinsically-pure-self-nature,huineng,position,700,1,true,mind-human-nature;religion-transcendence;ethics-cultivation,source-reviewed,codex-medieval-source-review,2026-07-17
shenxiu-concentrate-mind-quiet-thought,shenxiu,position,700,1,true,mind-human-nature;ethics-cultivation;religion-transcendence,source-reviewed,codex-medieval-source-review-2,2026-07-17
shenhui-no-thought-and-nonaction,shenhui,position,740,1,true,mind-human-nature;ethics-cultivation;religion-transcendence,source-reviewed,codex-medieval-source-review-2,2026-07-17
mazu-mind-is-buddha,mazu-daoyi,position,770,1,true,mind-human-nature;religion-transcendence;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
han-yu-ren-yi-dao-de,han-yu,position,800,1,true,ethics-cultivation;politics-governance,source-reviewed,codex-medieval-source-review-2,2026-07-17
han-yu-confucian-succession,han-yu,position,800,2,false,history-culture;education-hermeneutics;politics-governance,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
li-ao-nature-obscured-by-emotions,li-ao,position,810,1,true,mind-human-nature;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
liu-zongyuan-enfeoffment-product-of-circumstance,liu-zongyuan,position,810,1,true,politics-governance;history-culture,source-reviewed,codex-medieval-source-review-2,2026-07-17
liu-zongyuan-heaven-human-separate-functions,liu-zongyuan,position,810,2,false,tiandao-metaphysics;politics-governance;nature-technology,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
zongmi-sudden-awakening-gradual-cultivation,zongmi,position,830,1,true,mind-human-nature;knowledge-method;ethics-cultivation;religion-transcendence,source-reviewed,codex-medieval-source-review,2026-07-17
zongmi-originally-aware-true-mind,zongmi,position,830,2,false,mind-human-nature;religion-transcendence;education-hermeneutics,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
huangbo-one-mind-no-external-buddha,huangbo-xiyun,position,850,1,true,mind-human-nature;religion-transcendence;ethics-cultivation,source-reviewed,codex-zen-modern-source-review,2026-07-17
linji-master-of-every-situation,linji-yixuan,position,860,1,true,mind-human-nature;ethics-cultivation;religion-transcendence,source-reviewed,codex-zen-modern-source-review,2026-07-17
wunengzi-humans-continuous-with-animals,wunengzi,position,890,1,true,society-world;nature-technology;tiandao-metaphysics,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
zhou-dunyi-sincerity-root-practice,zhou-dunyi,position,1045,2,false,ethics-cultivation;tiandao-metaphysics,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-zai-cosmic-kinship,zhang-zai,position,1048,2,false,ethics-cultivation;society-world;tiandao-metaphysics,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
shao-yong-cosmos-correlative-pairs,shao-yong,position,1065,1,true,tiandao-metaphysics;nature-technology,source-reviewed,codex-primary-source-pass,2026-07-17
zhou-dunyi-taiji-yinyang-generation,zhou-dunyi,position,1065,1,true,tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
cheng-yi-nature-is-principle,cheng-yi,position,1070,2,false,mind-human-nature;tiandao-metaphysics;ethics-cultivation,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-zai-great-void-qi,zhang-zai,position,1070,1,true,tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
cheng-hao-ren-one-body,cheng-hao,position,1075,1,true,ethics-cultivation;tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
su-shi-knowledge-requires-practice,su-shi,position,1084,1,true,knowledge-method;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
cheng-yi-reverence-investigation,cheng-yi,position,1085,1,true,ethics-cultivation;knowledge-method,source-reviewed,codex-primary-source-pass,2026-07-17
hu-hong-nature-beyond-good-evil,hu-hong,position,1150,1,true,mind-human-nature;tiandao-metaphysics;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
zhu-xi-investigate-things-cumulative,zhu-xi,position,1165,2,false,knowledge-method;education-hermeneutics;ethics-cultivation,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
lu-jiuyuan-remove-obscurations-original-mind,lu-jiuyuan,position,1166,2,false,mind-human-nature;ethics-cultivation;knowledge-method,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-shi-righteousness-without-profit-motive,zhang-shi,position,1175,1,true,ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
lu-jiuyuan-mind-universe,lu-jiuyuan,position,1180,1,true,mind-human-nature;tiandao-metaphysics;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
lv-zuqian-historical-situated-understanding,lv-zuqian,position,1180,1,true,history-culture;education-hermeneutics;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
zhu-xi-ren-generative-heart,zhu-xi,position,1180,1,true,ethics-cultivation;tiandao-metaphysics;nature-technology,source-reviewed,codex-primary-source-pass,2026-07-17
chen-liang-dao-within-things-affairs,chen-liang,position,1185,1,true,tiandao-metaphysics;politics-governance;history-culture,source-reviewed,codex-primary-source-pass,2026-07-17
ye-shi-one-realized-through-pairs,ye-shi,position,1200,1,true,tiandao-metaphysics;knowledge-method;nature-technology,source-reviewed,codex-primary-source-pass,2026-07-17
xu-heng-reverence-and-investigation,xu-heng,position,1270,1,true,ethics-cultivation;knowledge-method,source-reviewed,codex-primary-source-pass,2026-07-17
wang-yinglin-learning-requires-broad-evidence,wang-yinglin,position,1275,1,true,knowledge-method;history-culture;education-hermeneutics,source-reviewed,codex-primary-source-pass,2026-07-17
wu-cheng-dao-within-mind,wu-cheng,position,1300,1,true,mind-human-nature;tiandao-metaphysics;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
wu-yubi-learning-in-minute-affairs,wu-yubi,position,1440,1,true,ethics-cultivation;education-hermeneutics,source-reviewed,codex-primary-source-pass,2026-07-17
chen-xianzhang-stillness-moral-intimation,chen-xianzhang,position,1475,1,true,ethics-cultivation;mind-human-nature;knowledge-method,source-reviewed,codex-primary-source-pass,2026-07-17
wang-yangming-liangzhi-present-knowing,wang-yangming,position,1505,2,false,mind-human-nature;ethics-cultivation,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
luo-qinshun-principle-is-qi-pattern,luo-qinshun,position,1515,1,true,tiandao-metaphysics;knowledge-method,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
wang-gen-self-respect-foundation-governance,wang-gen,position,1515,2,false,ethics-cultivation;politics-governance,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
wang-yangming-unity-knowledge-action,wang-yangming,position,1515,1,true,knowledge-method;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
wang-tingxiang-primordial-qi-is-ultimate,wang-tingxiang,position,1525,1,true,tiandao-metaphysics;nature-technology,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
zhan-ruoshui-recognize-principle-everywhere,zhan-ruoshui,position,1525,1,true,ethics-cultivation;knowledge-method,source-reviewed,codex-primary-source-pass,2026-07-17
wang-gen-way-in-common-daily-life,wang-gen,position,1530,1,true,ethics-cultivation;politics-governance,source-reviewed,codex-primary-source-pass,2026-07-17
qian-dehong-no-good-evil-and-cultivation,qian-dehong,position,1550,1,true,mind-human-nature;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
wang-ji-four-nothings,wang-ji,position,1550,1,true,mind-human-nature;tiandao-metaphysics;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
li-zhi-daily-needs-human-relations,li-zhi,position,1565,2,false,ethics-cultivation;society-world;mind-human-nature,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
luo-rufang-filial-affection-original-mind,luo-rufang,position,1570,1,true,mind-human-nature;ethics-cultivation;education-hermeneutics,source-reviewed,codex-primary-source-pass,2026-07-17
li-zhi-childlike-mind-authenticity,li-zhi,position,1590,1,true,mind-human-nature;aesthetics-art;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
lv-kun-form-and-qi-generate-world,lv-kun,position,1593,1,true,tiandao-metaphysics;nature-technology,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
gao-panlong-embodied-way-unifies-knowing-doing,gao-panlong,position,1600,1,true,ethics-cultivation;knowledge-method,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
gu-xiancheng-moral-practice-and-public-duty,gu-xiancheng,position,1604,1,true,ethics-cultivation;politics-governance;education-hermeneutics,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
liu-zongzhou-vigilance-in-solitude,liu-zongzhou,position,1635,1,true,mind-human-nature;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
wang-daiyu-true-one-transcends-form,wang-daiyu,position,1640,1,true,religion-transcendence;tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
fang-yizhi-empirical-investigation-of-things,fang-yizhi,position,1643,1,true,nature-technology;knowledge-method,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
gu-yanwu-classics-ground-principle-learning,gu-yanwu,position,1650,2,false,education-hermeneutics;knowledge-method;history-culture,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
huang-zongxi-law-public-not-dynastic,huang-zongxi,position,1650,2,false,politics-governance;ritual-law;society-world,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
wang-fuzhi-constant-principle-daily-renewal,wang-fuzhi,position,1655,2,false,tiandao-metaphysics;history-culture,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
wang-fuzhi-dao-in-concrete-things,wang-fuzhi,position,1660,1,true,tiandao-metaphysics;education-hermeneutics,source-reviewed,codex-primary-source-pass,2026-07-17
huang-zongxi-world-primary-ruler-guest,huang-zongxi,position,1663,1,true,politics-governance;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
gu-yanwu-everyone-responsible-for-tianxia,gu-yanwu,position,1670,1,true,politics-governance;ethics-cultivation;history-culture,source-reviewed,codex-primary-source-pass,2026-07-17
yan-yuan-learning-through-active-practice,yan-yuan,position,1670,2,false,education-hermeneutics;knowledge-method;ethics-cultivation,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
ma-zhu-divine-unity-obedience,ma-zhu,position,1685,1,true,religion-transcendence;ethics-cultivation;politics-governance,source-reviewed,codex-primary-source-pass,2026-07-17
yan-yuan-knowledge-through-practice,yan-yuan,position,1685,1,true,knowledge-method;education-hermeneutics;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
tang-zhen-emperors-as-predatory-power,tang-zhen,position,1690,1,true,politics-governance;society-world,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
li-gong-learning-is-enactment,li-gong,position,1700,1,true,education-hermeneutics;knowledge-method;ethics-cultivation,source-reviewed,codex-primary-source-pass,2026-07-17
liu-zhi-real-one-and-numerical-one,liu-zhi,position,1715,1,true,religion-transcendence;tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
dai-zhen-blood-qi-and-mind-one-root,dai-zhen,position,1750,2,false,mind-human-nature;ethics-cultivation,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-xuecheng-way-never-separate-instruments,zhang-xuecheng,position,1770,2,false,history-culture;education-hermeneutics;tiandao-metaphysics,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
dai-zhen-li-fulfillment-feeling,dai-zhen,position,1775,1,true,ethics-cultivation;mind-human-nature;politics-governance,source-reviewed,codex-primary-source-pass,2026-07-17
zhang-xuecheng-six-classics-are-history,zhang-xuecheng,position,1780,1,true,history-culture;education-hermeneutics,source-reviewed,codex-primary-source-pass,2026-07-17
gong-zizhen-institutions-change-talent-judgment,gong-zizhen,position,1815,1,true,politics-governance;history-culture,source-reviewed,late-qing-republic-2026-07-15-a,2026-07-17
