relation_id,locale,note
density-c-2d05e834874b05,zh-CN,公孙龙与玄奘的两条已取证观点都涉及“名辩与语言”：前者强调““白马”与“马”具有不同的名义条件：求马不限定颜色，求白马则限定白色，因此白马不能与马这一名称所指完全等同。”，后者强调“在胜义分析中，共同承认的可见色境不离眼识；这不是否认经验现象，而是反驳色境作为心外独立实体的成立。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-2d94d6376c0e56,en,"The evidenced claims by King Wen of Zhou and He Yan both address Heaven, cosmos & metaphysics: the former emphasizes “Within the authorial tradition that assigns the Zhouyi he…”, the latter “Whatever counts as being depends on nonbeing for its aris…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-2d94d6376c0e56,zh-CN,周文王与何晏的两条已取证观点都涉及“天道与形上”：前者强调“在把《周易》卦辞传统归于周文王的作者谱系中，乾卦以“元亨，利贞”断定大通，并强调守持正固才有利。”，后者强调“一切“有”之所以能够成立，依恃的是“无”；一切具体事务之所以能够成就，也以无形无名的道为根据。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-311a0eaa0aade4,en,"The evidenced claims by Jizang and Yang Guorong both address Heaven, cosmos & metaphysics, Knowledge & method: the former emphasizes “The ultimate and conventional truths are first of all two…”, the latter “Concrete metaphysics cannot abstract being into an empty …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-311a0eaa0aade4,zh-CN,吉藏与杨国荣的两条已取证观点都涉及“天道与形上、知识与方法”：前者强调“真谛与俗谛首先是佛陀因应众生而使用的两种言教，不是两个固定存在的境界；执著任何一谛为实体都会失去二谛的破执功能。”，后者强调“具体形上学不能把存在抽象为脱离人的空洞本体；它要在事实与价值、知识与意义、成己与成物的统一过程中把握真实存在。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-34dd21cb62305f,en,"The evidenced claims by Guo Xiang and Hu Hong both address Heaven, cosmos & metaphysics, Ethics & self-cultivation: the former emphasizes “Genuine freedom does not abolish differences and conditio…”, the latter “Human-cosmic nature is the deep ground through which heav…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-34dd21cb62305f,zh-CN,郭象与胡宏的两条已取证观点都涉及“天道与形上、伦理与修养”：前者强调“真正的逍遥不是取消差异和条件，而是每一事物安于自身性分、适合其所依条件，因而都能在各自尺度上自得。”，后者强调“性是天地与鬼神所以成立和变化的深层根据，不能简单用经验层面的善恶二分穷尽。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-3af4363f72cedf,en,"The evidenced claims by Mazu Daoyi and Liu Zongzhou both address Mind & human nature, Ethics & self-cultivation: the former emphasizes “People should trust that their own mind is Buddha-mind an…”, the latter “The root of moral cultivation is vigilance in solitude: d…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-3af4363f72cedf,zh-CN,马祖道一与刘宗周的两条已取证观点都涉及“心性与人性、伦理与修养”：前者强调“众人应信自己的心就是佛心，不必向心外寻找佛；但“即心是佛”是引导觉悟的方便，不应再把日常分别心实体化为佛。”，后者强调“道德工夫的根本在慎独：在念头尚未显著成为行为时察识意根，使心的隐微处不自欺。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-3b39f2b98caf8c,en,"The evidenced claims by Yang Xiong and Linji Yixuan both address Mind & human nature, Ethics & self-cultivation: the former emphasizes “Human nature mixes tendencies toward good and bad; cultiv…”, the latter “When practitioners do not let circumstances or inherited …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-3b39f2b98caf8c,zh-CN,扬雄与临济义玄的两条已取证观点都涉及“心性与人性、伦理与修养”：前者强调“人性混合着善与恶的倾向；修养善的倾向会成为善人，发展恶的倾向则会成为恶人。”，后者强调“修行者若不被外境和既成名相夺走判断，就能在任何处境中作主；真实性不在别处，而在当下不受境转的立足处显现。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-47123ff17083a5,en,"The evidenced claims by Shao Yong and Thomé H. Fang both address Heaven, cosmos & metaphysics, Nature, science & technology: the former emphasizes “The generation and operation of heaven and earth can be s…”, the latter “The cosmos is not a closed mechanical-material system but…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-47123ff17083a5,zh-CN,邵雍与方东美的两条已取证观点都涉及“天道与形上、自然与技艺”：前者强调“天地的生成与作用可由动静、阴阳、刚柔等成对范畴的交互得到系统说明。”，后者强调“宇宙不是封闭的机械物质系统，而是普遍生命不断流行、万物各自孕含生意并相互贯通的整体。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-4dce31419f8840,en,"The evidenced claims by Su Shi and Liang Shuming both address Ethics & self-cultivation: the former emphasizes “The Way cannot be learned through verbal explanation alon…”, the latter “Liang Shuming understood Chinese culture as pursuing harm…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-4dce31419f8840,zh-CN,苏轼与梁漱溟的两条已取证观点都涉及“伦理与修养”：前者强调“求道不能只靠书面解释；缺少亲身实践的人，即使得到正确言说，也无法形成真正理解。”，后者强调“梁漱溟把中国文化理解为以内向调和的生活态度追求人与自然、理性与情感的均衡。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-5320d617825eda,en,"The evidenced claims by Shen Dao and Kuiji both address Knowledge & method, Heaven, cosmos & metaphysics: the former emphasizes “One should relinquish self-assertive knowledge and ego-ce…”, the latter ““Consciousness-only” excludes the substantial existence o…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-5320d617825eda,zh-CN,慎到与窥基的两条已取证观点都涉及“知识与方法、天道与形上”：前者强调“应当舍弃自作聪明和以自我为中心的判断，顺随事物不可避免的趋势。”，后者强调““唯识”只遮遣心外境的实有性，并不把识本身也判为空无；它既反对外境实体论，也反对一切皆无的虚无论。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-532b43e61559b0,en,"The evidenced claims by Ruan Yuan and Zhang Dongsun both address Names, logic & language: the former emphasizes “Ren is not an abstract entity enclosed within an individu…”, the latter “Standards of evidence, objects of inquiry, selection and …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-532b43e61559b0,zh-CN,阮元与张东荪的两条已取证观点都涉及“名辩与语言”：前者强调“仁不是封闭在个人内心的抽象实体，而是在两人相互关联、尽责相待的行为中显现。”，后者强调“证据的标准、可知对象、感觉材料的选择与解释都受文化结构影响，而知识又必须借特定语言表达；认识因此始终经过文化与语言…”。此线只表示跨时期主题相似，不主张历史影响。
density-c-65c26a3328c5ee,en,"The evidenced claims by Zhou Dunyi and Cheng Hao both address Ethics & self-cultivation, Heaven, cosmos & metaphysics: the former emphasizes “Sincerity is both the root of sagehood and all ethical pr…”, the latter “Ren is not an isolated virtue but the ethical ground of o…”. This marks same-period conceptual similarity only, not historical influence."
density-c-65c26a3328c5ee,zh-CN,周敦颐与程颢的两条已取证观点都涉及“伦理与修养、天道与形上”：前者强调“诚既是圣人与五常百行的根本，也是乾道变化、万物各正性命在人伦中的落实。”，后者强调“仁不是一项孤立德目，而是人与万物浑然同体的德性基础，义、礼、智、信都是仁的具体展开。”。此线只表示同一时期主题相似，不主张历史影响。
density-c-6901f58702f10e,en,"The evidenced claims by Lü Buwei and Zhang Taiyan both address Politics & governance, Ritual, law & institutions, History & culture: the former emphasizes “When times and social conditions change, governing standa…”, the latter “Incomplete public understanding and persistent old custom…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-6901f58702f10e,zh-CN,吕不韦与章太炎的两条已取证观点都涉及“政治与治理、礼法与制度、历史与文化”：前者强调“时代和社会条件已经改变时，治理法度也应相应改变；古法不能仅因其古老就被机械照搬。”，后者强调“民众尚未普遍理解公理、旧俗尚存，并不是推迟革命的理由；政治竞争本身能够开启民智、彰明公理并清除妨碍共和的旧俗。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-6d0d5fde8807d4,en,"The evidenced claims by Zengzi and Xiang Xiu both address Ethics & self-cultivation: the former emphasizes “Confucius's Way is threaded through loyalty to one's full…”, the latter “Affection, desire, and sensory needs belong to the natura…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-6d0d5fde8807d4,zh-CN,曾子与向秀的两条已取证观点都涉及“伦理与修养”：前者强调“孔子之道贯通于“忠”与“恕”：尽己以及人，并以对自身的要求衡量如何对待他人。”，后者强调“人的情欲、亲爱和感官需要属于生命的自然结构，不应一概断绝；合理的养生是在承认它们的同时用礼义加以节制。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-6d68ce60c20865,en,"The evidenced claims by Hui Shi and Fan Zhen both address Heaven, cosmos & metaphysics: the former emphasizes “The greatest whole has nothing outside it, and the smalle…”, the latter “Spirit is not a substance independent of the body but the…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-6d68ce60c20865,zh-CN,惠施与范缜的两条已取证观点都涉及“天道与形上”：前者强调“最大的整体没有外部，最小的单位没有内部；“大一”与“小一”标示了整体与部分的两个极限。”，后者强调“精神不是独立于形体的实体，而是有生命形体的作用；如同锋利不能脱离刀刃，形体消亡后精神也不可能继续存在。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-749c9a5cda0eda,en,"The evidenced claims by Yan Yuan and Lao Sze-kwang both address Education & interpretation, Knowledge & method: the former emphasizes “Knowledge and virtue become real only through embodied pr…”, the latter “The history of philosophy cannot merely list materials or…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-749c9a5cda0eda,zh-CN,颜元与劳思光的两条已取证观点都涉及“教育与诠释、知识与方法”：前者强调“知识与德性必须通过身体力行才能成立；只在心口纸面上理解而未亲自习行，不能算真正学会。”，后者强调“哲学史研究不能只罗列材料或追踪外在影响，而应对材料施以理论照明，重构一位哲学家试图回答的基源问题及其基本设准。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-805ef0470f015b,en,"The evidenced claims by Yang Zhu and Shenhui both address Ethics & self-cultivation: the former emphasizes “Yang Zhu's 'for oneself' position refuses injury to one's…”, the latter “Chan takes no-thought as its principle and nonfabrication…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-805ef0470f015b,zh-CN,杨朱与神会的两条已取证观点都涉及“伦理与修养”：前者强调“杨朱的“为我”立场拒绝为了天下之利而损伤自身，即便代价只是一根毫毛。”，后者强调“禅以无念为宗、无作为本：无念不是昏昧断念，而是在见闻觉知中不被念头黏着；真空之体因此能够显出妙有之用。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-808cf55793b2a4,en,"The evidenced claims by Shang Yang and Sun Yat-sen both address Politics & governance, Ritual, law & institutions: the former emphasizes “A state is governed through law, trustworthiness, and aut…”, the latter “Popular rights mean that sovereignty belongs to the peopl…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-808cf55793b2a4,zh-CN,商鞅与孙中山的两条已取证观点都涉及“政治与治理、礼法与制度”：前者强调“国家获得治理依靠法、信、权三者：法须由君臣共同遵守，政令还必须可信并有权威保障。”，后者强调“民权意味着主权属于民众，政治权力不能继续被少数人作为私人特权垄断。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-83c70554f20961,en,"The evidenced claims by Wu Yubi and Ai Siqi both address Education & interpretation: the former emphasizes “Moral learning requires personally handling minute tasks …”, the latter “Marxist materialism, epistemology, and dialectics should …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-83c70554f20961,zh-CN,吴与弼与艾思奇的两条已取证观点都涉及“教育与诠释”：前者强调“道德学习必须亲身处理耕作、洒扫等细务，在日常劳作中检验并养成德性。”，后者强调“马克思主义哲学的唯物论、认识论和辩证法应以日常事例和通俗语言向非专业读者解释。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-84ac6b65c0a4ca,en,"The evidenced claims by Luo Rufang and He Lin both address Education & interpretation, Ethics & self-cultivation: the former emphasizes “The child's spontaneous affection for parents and respect…”, the latter “For Confucian thought to remain alive, it cannot be treat…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-84ac6b65c0a4ca,zh-CN,罗汝芳与贺麟的两条已取证观点都涉及“教育与诠释、伦理与修养”：前者强调“孩提自然爱亲敬长的赤子良心，是道德生活现成可发的根源；教育应唤醒并扩充它，而非从外强制灌入。”，后者强调“儒家思想若要继续存在，就不能被当作静止的古物，而应作为有机传统，在变迁中改造自身并回应新的精神需要与文化环境。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-87b291d0e66423,en,"The evidenced claims by Chen Liang and Chen Lai both address History & culture, Politics & governance: the former emphasizes “The Way does not stand outside embodied things and everyd…”, the latter “A salient orientation of traditional Chinese values gives…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-87b291d0e66423,zh-CN,陈亮与陈来的两条已取证观点都涉及“历史与文化、政治与治理”：前者强调“道不在形气与日用事物之外；充满宇宙的是具体之物，现实生活中的每一处都是实行和检验道的场域。”，后者强调“中华传统价值的突出取向是责任、义务、社群与和谐分别优先于自由、权利、个人与冲突。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-8a5983666817d1,en,"The evidenced claims by Xu Xing and Zhao Tingyang both address Society & world order, Politics & governance, Ethics & self-cultivation: the former emphasizes “A worthy ruler should obtain food by farming alongside th…”, the latter “Global problems require the world as the basic political …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-8a5983666817d1,zh-CN,许行与赵汀阳的两条已取证观点都涉及“社会与天下、政治与治理、伦理与修养”：前者强调“贤明统治者应当与百姓共同耕作以取得食物，并在参与生产劳动的同时治理国家。”，后者强调“全球问题必须以世界整体而非国家间外部关系为基本政治单位，通过可被所有人接受的世界制度转化为真正的“世界内部问题”。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-9103f561fe92ef,en,"The evidenced claims by Huan Tan and Jin Yuelin both address Heaven, cosmos & metaphysics: the former emphasizes “Spirit depends on the body as flame depends on a candle; …”, the latter “Dao consists in the inseparable conjunction of Form and S…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-9103f561fe92ef,zh-CN,桓谭与金岳霖的两条已取证观点都涉及“天道与形上”：前者强调“精神依存于形体，如火依存于蜡烛；形体耗尽时精神不能脱离形体而独自存在。”，后者强调“道由“式”与“能”不可分离的结合构成：只有式而无能便是空架，只有能而无式便不可成为现实；现实是能进入可能形式的历程。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-97b7e0673a15ae,en,"The evidenced claims by Daosheng and Zhiyi both address Mind & human nature, Religion & transcendence: the former emphasizes “Because the three vehicles ultimately converge in the sin…”, the latter “A single thought contains the ten dharma realms, each mut…”. This marks same-period conceptual similarity only, not historical influence."
density-c-97b7e0673a15ae,zh-CN,道生与智顗的两条已取证观点都涉及“心性与人性、宗教与超越”：前者强调“三乘最终归于一佛乘，因此一切众生都具有成佛并入涅槃的可能；被烦恼覆蔽并不取消其觉悟之分。”，后者强调“一念心具足十法界，十界互具并各含十如是与三世间，故三千世间不在心外，也不是由心在时间上制造，而与一念不纵不横地相即。”。此线只表示同一时期主题相似，不主张历史影响。
density-c-9878876466b08c,en,"The evidenced claims by Wu Cheng and Cheng Chung-ying both address Heaven, cosmos & metaphysics, Ethics & self-cultivation: the former emphasizes “The Way is fully present in the original mind, so seeking…”, the latter “Interpretation is not a textual technique separate from b…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-9878876466b08c,zh-CN,吴澄与成中英的两条已取证观点都涉及“天道与形上、伦理与修养”：前者强调“道完整具于人的本心，求道不能把心与道分成内外两物；修养在于使本心显明并落实于行动。”，后者强调“诠释不是与存在分离的文本技术；理解在本体、知识与道德实践的循环中生成，并反过来转化理解者。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-98b00b0207618a,en,"The evidenced claims by Ge Hong and Wei Yuan both address Nature, science & technology: the former emphasizes “Immortality is extraordinarily difficult but not a fixed …”, the latter “In confronting foreign powers, one should systematically …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-98b00b0207618a,zh-CN,葛洪与魏源的两条已取证观点都涉及“自然与技艺”：前者强调“成仙虽极其困难，却不是天生固定的身份；通过传授、药物、守一和累积实践，凡人原则上能够学习并达到长生。”，后者强调“面对外来强权，应系统了解海外形势并学习其优势技术，把知识转化为交涉、防御与制衡能力。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-9de1a6e5eebf2e,en,"The evidenced claims by Li Zhi and Wang Ruoshui both address Ethics & self-cultivation, Society & world order: the former emphasizes “Concrete needs such as clothing and food are themselves w…”, the latter “Alienation is not confined to capitalism; socialist socie…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-9de1a6e5eebf2e,zh-CN,李贽与王若水的两条已取证观点都涉及“伦理与修养、社会与天下”：前者强调“穿衣吃饭等切身需要本就是人伦物理展开之处；离开真实生活另造玄妙道理，只会造成虚伪。”，后者强调“异化并非只属于资本主义；社会主义社会也必须检视制度和权力是否使人的活动及其成果反过来支配人。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-9f2eca8b4fdafc,en,"The evidenced claims by Chen Xianzhang and Li Da both address Knowledge & method: the former emphasizes “Learning should clarify the mind in seated stillness unti…”, the latter “Dialectics, logic, and epistemology within dialectical ma…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-9f2eca8b4fdafc,zh-CN,陈献章与李达的两条已取证观点都涉及“知识与方法”：前者强调“为学应通过端坐澄心，在静中培养道德觉悟的端倪，再由此应事；单靠繁密章句不能获得自得。”，后者强调“唯物辩证法的辩证法、逻辑与认识论不是三套彼此分离的学科，而是同一哲学的相互贯通面向；认识过程必须在这种统一中说明。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-a17066bc323cd3,en,"The evidenced claims by Lü Zuqian and Liang Qichao both address Ethics & self-cultivation, Education & interpretation, History & culture: the former emphasizes “Historical reading must imaginatively reconstruct contemp…”, the latter “National renewal cannot rest on institutional transplanta…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-a17066bc323cd3,zh-CN,吕祖谦与梁启超的两条已取证观点都涉及“伦理与修养、教育与诠释、历史与文化”：前者强调“读史必须设身处地考察当时的人情、事势与选择压力，不能只以后见之明作抽象褒贬。”，后者强调“国家更新不能只靠制度移植，而必须以塑造具有公德、权利意识和自治能力的‘新民’为急务。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-a1b7afd636adc9,en,"The evidenced claims by Shenxiu and Qian Dehong both address Mind & human nature, Ethics & self-cultivation: the former emphasizes “Chan practice centers on concentrated recollection that q…”, the latter “The mind's original condition precedes fixed good-evil op…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-a1b7afd636adc9,zh-CN,神秀与钱德洪的两条已取证观点都涉及“心性与人性、伦理与修养”：前者强调“禅修的核心在专注意念以止息分别想，并尽力收摄散乱心；由内在摄心进入觉悟，不应只依外在仪式。”，后者强调“心体本身超出既成善恶对待，但现实意念已有善恶，因此仍须依良知实行去恶为善的工夫。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-b5e5ff69da93da,en,"The evidenced claims by Han Fei and Yan Fu both address Politics & governance, Ritual, law & institutions: the former emphasizes “The enlightened ruler's two fundamental levers for contro…”, the latter “Freedom of speech is a foundation of civil society and an…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-b5e5ff69da93da,zh-CN,韩非与严复的两条已取证观点都涉及“政治与治理、礼法与制度”：前者强调“明君控制臣下的两种基本权柄是刑与德，即惩罚和奖赏。”，后者强调“言论自由是公民社会形成的基础条件，也是民主与自由主义得以发展的制度前提。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-b6a5a3e52f8e0c,en,"The evidenced claims by Wang Yinglin and Zhang Shiying both address Education & interpretation, History & culture: the former emphasizes “Critical learning should cross-check a broad range of cla…”, the latter “Nothing in the world is completely identical, yet differe…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-b6a5a3e52f8e0c,zh-CN,王应麟与张世英的两条已取证观点都涉及“教育与诠释、历史与文化”：前者强调“考辨学问应广泛互证经史材料并保存异说，不能凭单一传注或个人臆断裁决古义。”，后者强调“世界上没有完全相同的事物，但不同者能够相通；哲学的最高任务不应停在寻找抽象同一性，而应体验差异者在宇宙整体中的相互…”。此线只表示跨时期主题相似，不主张历史影响。
density-c-bbc8f074137bf8,en,"The evidenced claims by Li Ao and Huangbo Xiyun both address Mind & human nature, Ethics & self-cultivation: the former emphasizes “The ground of sagehood is an originally clear and good na…”, the latter “Buddhas and sentient beings do not possess two different …”. This marks same-period conceptual similarity only, not historical influence."
density-c-bbc8f074137bf8,zh-CN,李翱与黄檗希运的两条已取证观点都涉及“心性与人性、伦理与修养”：前者强调“人成圣的根据是本来清明而善的性，遮蔽此性的则是情欲活动；修养不是制造新性，而是使情不再昏蔽并恢复本性。”，后者强调“诸佛与众生并无两种不同的心；向外执相求佛只会离自心更远，觉悟在于停止以心追逐另一个被对象化的“佛”。”。此线只表示同一时期主题相似，不主张历史影响。
density-c-bd86203e64049a,en,"The evidenced claims by Shen Buhai and Gong Zizhen both address Politics & governance: the former emphasizes “The ruler's administrative technique consists in assignin…”, the latter “Institutions, circumstances, precedents, and public habit…”. This marks cross-period conceptual similarity only, not historical influence."
