person_id,kind,local_path,wikidata_id,source_url,file_title,author,license,license_url,review_status,match_method,notes
zengzi,sourced-image,/portraits-finalized-v1/zengzi.webp,Q1207671,https://commons.wikimedia.org/wiki/File:Half_Portraits_of_the_Great_Sage_and_Virtuous_Men_of_Old_-_Zeng_Shen_Ziyu_(%E6%9B%BE%E5%8F%83_%E5%AD%90%E8%BC%BF).jpg,Half Portraits of the Great Sage and Virtuous Men of Old - Zeng Shen Ziyu (曾參 子輿).jpg,anonymous,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
mozi,sourced-image,/portraits-finalized-v1/mozi.webp,Q272411,https://commons.wikimedia.org/wiki/File:%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84_%D0%9C%D0%BE-%D0%A6%D0%B7%D1%8B.jpg,Философ Мо-Цзы.jpg,Vjacheslav Rublevskiy,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
zisi,generated-illustration,/portraits-generated-v1/zisi.webp,,,AI interpretive portrait of zisi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
liezi,generated-illustration,/portraits-generated-v1/liezi.webp,,,AI interpretive portrait of liezi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yang-zhu,generated-illustration,/portraits-generated-v1/yang-zhu.webp,,,AI interpretive portrait of yang-zhu,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
shang-yang,sourced-image,/portraits-finalized-v1/shang-yang.webp,Q351345,https://commons.wikimedia.org/wiki/File:Statue_of_Shang_Yang.jpg,Statue of Shang Yang.jpg,Taken by Fanghong,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
shen-buhai,generated-illustration,/portraits-generated-v1/shen-buhai.webp,,,AI interpretive portrait of shen-buhai,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
mencius,generated-illustration,/portraits-generated-v1/mencius.webp,,,AI interpretive portrait of mencius,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
hui-shi,generated-illustration,/portraits-generated-v1/hui-shi.webp,,,AI interpretive portrait of hui-shi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
sun-bin,sourced-image,/portraits-finalized-v1/sun-bin.webp,Q334090,https://commons.wikimedia.org/wiki/File:Sun_Bin.jpg,Sun Bin.jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
zhuangzi,generated-illustration,/portraits-generated-v1/zhuangzi.webp,,,AI interpretive portrait of zhuangzi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
gaozi,generated-illustration,/portraits-generated-v1/gaozi.webp,,,AI interpretive portrait of gaozi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
xu-xing,generated-illustration,/portraits-generated-v1/xu-xing.webp,,,AI interpretive portrait of xu-xing,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
shen-dao,generated-illustration,/portraits-generated-v1/shen-dao.webp,,,AI interpretive portrait of shen-dao,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
gongsun-long,generated-illustration,/portraits-generated-v1/gongsun-long.webp,,,AI interpretive portrait of gongsun-long,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zou-yan,generated-illustration,/portraits-generated-v1/zou-yan.webp,,,AI interpretive portrait of zou-yan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
xunzi,generated-illustration,/portraits-generated-v1/xunzi.webp,,,AI interpretive portrait of xunzi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
han-fei,generated-illustration,/portraits-generated-v1/han-fei.webp,,,AI interpretive portrait of han-fei,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
lu-buwei,generated-illustration,/portraits-generated-v1/lu-buwei.webp,,,AI interpretive portrait of lu-buwei,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
li-si,generated-illustration,/portraits-generated-v1/li-si.webp,,,AI interpretive portrait of li-si,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
dong-zhongshu,sourced-image,/portraits-finalized-v1/dong-zhongshu.webp,Q445626,https://commons.wikimedia.org/wiki/File:Dong_zhongshu.jpg,Dong zhongshu.jpg,孔继尧,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
liu-an,generated-illustration,/portraits-generated-v1/liu-an.webp,,,AI interpretive portrait of liu-an,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
sima-tan,generated-illustration,/portraits-generated-v1/sima-tan.webp,,,AI interpretive portrait of sima-tan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
sima-qian,generated-illustration,/portraits-generated-v1/sima-qian.webp,,,AI interpretive portrait of sima-qian,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yang-xiong,generated-illustration,/portraits-generated-v1/yang-xiong.webp,,,AI interpretive portrait of yang-xiong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
huan-tan,generated-illustration,/portraits-generated-v1/huan-tan.webp,,,AI interpretive portrait of huan-tan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
wang-chong,generated-illustration,/portraits-generated-v1/wang-chong.webp,,,AI interpretive portrait of wang-chong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
ban-zhao,sourced-image,/portraits-finalized-v1/ban-zhao.webp,Q177081,https://commons.wikimedia.org/wiki/File:Banzhao.jpg,Banzhao.jpg,,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
wang-fu,generated-illustration,/portraits-generated-v1/wang-fu.webp,,,AI interpretive portrait of wang-fu,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zheng-xuan,generated-illustration,/portraits-generated-v1/zheng-xuan.webp,,,AI interpretive portrait of zheng-xuan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhongchang-tong,generated-illustration,/portraits-generated-v1/zhongchang-tong.webp,,,AI interpretive portrait of zhongchang-tong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
he-yan,generated-illustration,/portraits-generated-v1/he-yan.webp,,,AI interpretive portrait of he-yan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
ruan-ji,sourced-image,/portraits-finalized-v1/ruan-ji.webp,Q142683,https://commons.wikimedia.org/wiki/File:RuanJi.JPG,RuanJi.JPG,,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
wang-bi,generated-illustration,/portraits-generated-v1/wang-bi.webp,,,AI interpretive portrait of wang-bi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
ji-kang,generated-illustration,/portraits-generated-v1/ji-kang.webp,,,AI interpretive portrait of ji-kang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
xiang-xiu,generated-illustration,/portraits-generated-v1/xiang-xiu.webp,,,AI interpretive portrait of xiang-xiu,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
guo-xiang,generated-illustration,/portraits-generated-v1/guo-xiang.webp,,,AI interpretive portrait of guo-xiang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
pei-wei,generated-illustration,/portraits-generated-v1/pei-wei.webp,,,AI interpretive portrait of pei-wei,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
lu-sheng,generated-illustration,/portraits-generated-v1/lu-sheng.webp,,,AI interpretive portrait of lu-sheng,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
ge-hong,sourced-image,/portraits-finalized-v1/ge-hong.webp,Q553678,https://commons.wikimedia.org/wiki/File:%E8%91%9B%E6%B4%AA.jpg,葛洪.jpg,Hannah,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
zhi-dun,generated-illustration,/portraits-generated-v1/zhi-dun.webp,,,AI interpretive portrait of zhi-dun,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
huiyuan,generated-illustration,/portraits-generated-v1/huiyuan.webp,,,AI interpretive portrait of huiyuan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
sengzhao,generated-illustration,/portraits-generated-v1/sengzhao.webp,,,AI interpretive portrait of sengzhao,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
daosheng,generated-illustration,/portraits-generated-v1/daosheng.webp,,,AI interpretive portrait of daosheng,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
fan-zhen,generated-illustration,/portraits-generated-v1/fan-zhen.webp,,,AI interpretive portrait of fan-zhen,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
bodhidharma,sourced-image,/portraits-finalized-v1/bodhidharma.webp,Q187172,https://commons.wikimedia.org/wiki/File:BodhidharmaYoshitoshi1887.jpg,BodhidharmaYoshitoshi1887.jpg,Yoshitoshi,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
zhiyi,sourced-image,/portraits-finalized-v1/zhiyi.webp,Q197778,https://commons.wikimedia.org/wiki/File:Sramana_Zhiyi.jpeg,Sramana Zhiyi.jpeg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
jizang,generated-illustration,/portraits-generated-v1/jizang.webp,,,AI interpretive portrait of jizang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
du-shun,generated-illustration,/portraits-generated-v1/du-shun.webp,,,AI interpretive portrait of du-shun,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
wang-tong-sui,generated-illustration,/portraits-generated-v1/wang-tong-sui.webp,,,AI interpretive portrait of wang-tong-sui,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
xuanzang,generated-illustration,/portraits-generated-v1/xuanzang.webp,,,AI interpretive portrait of xuanzang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
lv-cai,generated-illustration,/portraits-generated-v1/lv-cai.webp,,,AI interpretive portrait of lv-cai,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
kuiji,generated-illustration,/portraits-generated-v1/kuiji.webp,,,AI interpretive portrait of kuiji,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
shenxiu,generated-illustration,/portraits-generated-v1/shenxiu.webp,,,AI interpretive portrait of shenxiu,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
huineng,generated-illustration,/portraits-generated-v1/huineng.webp,,,AI interpretive portrait of huineng,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
fazang,generated-illustration,/portraits-generated-v1/fazang.webp,,,AI interpretive portrait of fazang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
shenhui,generated-illustration,/portraits-generated-v1/shenhui.webp,,,AI interpretive portrait of shenhui,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
mazu-daoyi,generated-illustration,/portraits-generated-v1/mazu-daoyi.webp,,,AI interpretive portrait of mazu-daoyi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
liu-zongyuan,generated-illustration,/portraits-generated-v1/liu-zongyuan.webp,,,AI interpretive portrait of liu-zongyuan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
han-yu,sourced-image,/portraits-finalized-v1/han-yu.webp,Q318998,https://commons.wikimedia.org/wiki/File:Han_Yu.jpg,Han Yu.jpg,,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
li-ao,generated-illustration,/portraits-generated-v1/li-ao.webp,,,AI interpretive portrait of li-ao,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zongmi,generated-illustration,/portraits-generated-v1/zongmi.webp,,,AI interpretive portrait of zongmi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
huangbo-xiyun,generated-illustration,/portraits-generated-v1/huangbo-xiyun.webp,,,AI interpretive portrait of huangbo-xiyun,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
linji-yixuan,sourced-image,/portraits-finalized-v1/linji-yixuan.webp,Q326950,https://commons.wikimedia.org/wiki/File:RinzaiGigen.jpg,RinzaiGigen.jpg,曾我蛇足 Soga Jasoku (fl. c. 1300),Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
wunengzi,generated-illustration,/portraits-generated-v1/wunengzi.webp,,,AI interpretive portrait of wunengzi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
shao-yong,generated-illustration,/portraits-generated-v1/shao-yong.webp,,,AI interpretive portrait of shao-yong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhou-dunyi,generated-illustration,/portraits-generated-v1/zhou-dunyi.webp,,,AI interpretive portrait of zhou-dunyi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhang-zai,generated-illustration,/portraits-generated-v1/zhang-zai.webp,,,AI interpretive portrait of zhang-zai,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
cheng-hao,generated-illustration,/portraits-generated-v1/cheng-hao.webp,,,AI interpretive portrait of cheng-hao,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
cheng-yi,sourced-image,/portraits-finalized-v1/cheng-yi.webp,Q558380,https://commons.wikimedia.org/wiki/File:%E5%AE%8B%E5%B4%87%E6%94%BF%E6%AE%BF%E8%AF%B4%E4%B9%A6%E7%A8%8B%E9%A2%90.jpg,宋崇政殿说书程颐.jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
su-shi,sourced-image,/portraits-finalized-v1/su-shi.webp,Q36020,https://commons.wikimedia.org/wiki/File:Su_shi.jpg,Su shi.jpg,Zhao Mengfu,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
hu-hong,generated-illustration,/portraits-generated-v1/hu-hong.webp,,,AI interpretive portrait of hu-hong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhang-shi,sourced-image,/portraits-finalized-v1/zhang-shi.webp,Q708644,https://commons.wikimedia.org/wiki/File:%E5%AE%8B%E5%8F%B3%E6%96%87%E6%AE%BF%E4%BF%AE%E6%92%B0%E5%BC%A0%E6%A0%BB.jpg,宋右文殿修撰张栻.jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
