id,source_statement_id,target_statement_id,polarity,subtype,basis,direction,historical_influence,review_status,reviewer,reviewed_at,evidence_source_ids
density-c-00610bfe343d51,liezi-ceaseless-generation-transformation,ma-yifu-six-arts-interconnected-hermeneutic-whole,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-liezi-tianrui-ctext;src-mayifu-liuyilun-zhexueyanjiu
density-c-47123ff17083a5,shao-yong-cosmos-correlative-pairs,fang-dongmei-universe-living-field,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,shao-yong-huangji-11;src-fang-dongmei-chinese-life-quoted
density-c-4dce31419f8840,su-shi-knowledge-requires-practice,liang-shuming-cultural-inward-moderation,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,iep-modern-chinese-philosophy;su-shi-riyu
density-c-5320d617825eda,shen-dao-follow-necessity,kuiji-consciousness-only-not-nihilism,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-kuiji-chengweishi-shuji;src-zhuangzi-tianxia-ctext
density-c-532b43e61559b0,ruan-yuan-ren-between-persons,zhang-dongsun-knowledge-culturally-and-linguistically-mediated,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,ruan-yuan-lunren;src-zhangdongsun-iep-topics
density-c-65c26a3328c5ee,zhou-dunyi-sincerity-root-practice,cheng-hao-ren-one-body,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,cheng-hao-shiren;zhou-dunyi-tongshu-cheng
density-c-6901f58702f10e,lu-buwei-law-must-change-with-times,zhang-taiyan-revolution-produces-public-reason-and-removes-custom,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-lvshi-chunqiu-chajin-ctext;src-zhangtaiyan-bokang-wikisource
density-c-6d0d5fde8807d4,zengzi-confucian-way-zhong-shu,xiang-xiu-desire-natural-but-ritually-regulated,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-analects-liren-ctext;src-xiangxiu-nanyangsheng
density-c-6d68ce60c20865,hui-shi-great-one-small-one,fan-zhen-mind-function-of-body,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-fanzhen-shenmie;src-zhuangzi-tianxia-ctext
density-c-749c9a5cda0eda,yan-yuan-knowledge-through-practice,lao-szekwang-fundamental-question-method,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-lao-szekwang-method-sinica;yan-yuan-xizhai
density-c-805ef0470f015b,yang-zhu-for-self-no-hair-for-world,shenhui-no-thought-and-nonaction,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-mengzi-jinxin-i-yangzhu-ctext;src-shenhui-xianzongji
density-c-808cf55793b2a4,shang-yang-law-trust-authority,sun-yat-sen-popular-sovereignty,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-shangjunshu-xiuquan-ctext;sunyatsen-sanmin-primary
density-c-83c70554f20961,wu-yubi-learning-in-minute-affairs,ai-siqi-philosophy-popular-language,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,atlantis-ai-siqi-popular-philosophy-2017;wu-yubi-rilu
density-c-84ac6b65c0a4ca,luo-rufang-filial-affection-original-mind,he-lin-confucianism-organic-renewal,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,luo-rufang-xutan;src-he-lin-wenhua-yu-rensheng-scan
density-c-87b291d0e66423,chen-liang-dao-within-things-affairs,chen-lai-relational-value-priorities,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,chen-lai-core-values-2015;chen-liang-jingshu-fati
density-c-8a5983666817d1,xu-xing-ruler-shares-labor,zhao-tingyang-world-as-political-unit,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-mengzi-tengwengong-i-ctext;zhao-tingyang-tianxia-2009
density-c-9103f561fe92ef,huan-tan-spirit-dependent-on-body,jin-yuelin-dao-formed-stuff-unity,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-hongmingji-xinlun-xingshen-ctext;src-jinyuelin-hu-theory-dao-wiley
density-c-97b7e0673a15ae,daosheng-all-beings-can-become-buddhas,zhiyi-three-thousand-in-one-thought,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-daosheng-fahuajingshu-cbeta;src-zhiyi-mohezhiguan-cbeta
density-c-9878876466b08c,wu-cheng-dao-within-mind,cheng-chung-ying-onto-hermeneutic-integration,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,cheng-onto-hermeneutics-2000;wu-cheng-benxinlouji
density-c-98b00b0207618a,ge-hong-immortality-learnable,wei-yuan-learn-foreign-techniques-for-strategic-agency,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-gehong-baopuzi-neipian;src-wei-haiguotuzhi-yuanxu-wikisource
density-c-9de1a6e5eebf2e,li-zhi-daily-needs-human-relations,wang-ruoshui-socialist-alienation-humanism,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,li-zhi-dafen-shu-dayong;sage-wang-ruoshui-alienation-1984
density-c-9f2eca8b4fdafc,chen-xianzhang-stillness-moral-intimation,li-da-dialectics-logic-epistemology-unified-practical-philosophy,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,chen-xianzhang-mingshi;src-lida-knight-epistemology-logic
density-c-a17066bc323cd3,lv-zuqian-historical-situated-understanding,liang-qichao-renew-the-people,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,lv-zuqian-lize;wikisource-xinminshuo
density-c-a1b7afd636adc9,shenxiu-concentrate-mind-quiet-thought,qian-dehong-no-good-evil-and-cultivation,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,qian-dehong-xuwang;src-shenxiu-datongbei
density-c-b5e5ff69da93da,han-fei-two-handles,yan-fu-free-speech-civil-society,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,iep-modern-chinese-expansion;src-hanfeizi-erbing-ctext
density-c-b6a5a3e52f8e0c,wang-yinglin-learning-requires-broad-evidence,zhang-shiying-difference-and-interconnection,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-zhang-shiying-similarity-communication-pku;wang-yinglin-kunxue
density-c-bbc8f074137bf8,li-ao-nature-obscured-by-emotions,huangbo-one-mind-no-external-buddha,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-huangbo-chuanxin-t48;src-liao-fuxingshu
density-c-bd86203e64049a,shen-buhai-technique-name-performance,gong-zizhen-institutions-change-talent-judgment,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-gong-shangdaxueshishu-wikisource;src-hanfeizi-dingfa-ctext
density-c-c5de687340ac83,li-gong-learning-is-enactment,feng-qi-theory-into-method-and-virtue,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,li-gong-shugu;src-feng-qi-wisdom-introduction
density-c-c8b8b9d77eebdd,guan-zhong-material-security-moral-order,jiang-qing-triple-political-legitimacy,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,jiang-qing-humane-authority-2013;src-guanzi-mumin-ctext
density-c-c933bc92fd9d5f,sima-tan-six-schools-shared-governance,qian-mu-cultural-subjectivity-without-rejecting-western-methods,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-qianmu-political-institutions-ntu;src-shiji-taishigongzixu-ctext
density-c-c971b6f3cc4b9a,wang-gen-self-respect-foundation-governance,huang-zongxi-world-primary-ruler-guest,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,huang-zongxi-yuanjun;wang-gen-yulu-anshen
density-c-cfbcc727fe3b49,sima-qian-death-value-by-purpose,bodhidharma-two-entrances-practice,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-bodhidharma-two-entrances-critical-study;src-hanshu-simaqian-ctext
density-c-def3d3b2cff123,pei-wei-being-self-generates,li-chenyang-dynamic-harmony-through-difference,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,li-chenyang-dynamic-harmony-2023;src-peiwei-chongyoulun
density-c-df71643c84f44c,wang-chong-dead-lack-awareness,huineng-intrinsically-pure-self-nature,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-huineng-tanjing-cbeta;src-lunheng-lunshi-ctext
density-c-e48258e5a2a7e9,fazang-one-is-all-nonobstruction,feng-youlan-universal-particular-logical-analysis,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,iep-feng-youlan-expansion;src-fazang-huayan-yicheng
density-c-e81cdb7e6d06b8,xu-heng-reverence-and-investigation,zhan-ruoshui-recognize-principle-everywhere,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,xu-heng-luzhai-yishu;zhan-ruoshui-ganquan
density-c-ec9a4546735bf7,gaozi-life-is-nature,huang-yong-self-other-one-body,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,huang-yong-egoism-altruism-2018;src-mengzi-gaozi-i-ctext
density-c-f1d5ebfa69509a,wang-fuzhi-constant-principle-daily-renewal,zhang-dainian-creative-comprehensive-synthesis,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,wang-fuzhi-shangshu-yinyi;wiley-zhang-dainian-creative-synthesis-2002
density-c-f666fa9bfa8c8f,zou-yan-five-virtues-historical-succession,wang-hui-depoliticization-naturalizes-power,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-shiji-mengzi-xunqing-ctext;wang-hui-depoliticized-2006
density-c-fd7edce7a60372,yan-hui-learning-culture-ritual,ban-zhao-educate-women,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-analects-zihan-ctext;src-banzhao-nvjie
density-c-ff4d9c3ad906c8,liu-zhi-real-one-and-numerical-one,tu-weiming-anthropocosmic-embedded-humanity,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,liu-zhi-tianfang;tu-ecological-turn-2001
density-negative-01-confucius-rule-virtue-han-fei-two-handles,confucius-rule-virtue,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-analects;src-hanfeizi-erbing-ctext
density-negative-02-mencius-kingly-way-han-fei-two-handles,mencius-kingly-way,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mengzi;src-hanfeizi-erbing-ctext
density-negative-03-mencius-people-priority-han-fei-two-handles,mencius-people-priority,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mengzi;src-hanfeizi-erbing-ctext
density-negative-04-xu-xing-ruler-shares-labor-han-fei-two-handles,xu-xing-ruler-shares-labor,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-hanfeizi-erbing-ctext;src-mengzi-tengwengong-i-ctext
density-negative-05-xu-xing-ruler-shares-labor-shen-buhai-technique-name-performance,xu-xing-ruler-shares-labor,shen-buhai-technique-name-performance,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-hanfeizi-dingfa-ctext;src-mengzi-tengwengong-i-ctext
density-negative-06-huang-zongxi-law-public-not-dynastic-han-fei-two-handles,huang-zongxi-law-public-not-dynastic,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,huang-zongxi-yuanfa;src-hanfeizi-erbing-ctext
density-negative-07-huang-zongxi-world-primary-ruler-guest-han-fei-two-handles,huang-zongxi-world-primary-ruler-guest,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,huang-zongxi-yuanjun;src-hanfeizi-erbing-ctext
density-negative-08-bai-tongdong-confucian-hybrid-regime-sun-yat-sen-popular-sovereignty,bai-tongdong-confucian-hybrid-regime,sun-yat-sen-popular-sovereignty,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,bai-tongdong-against-equality-2019;sunyatsen-sanmin-primary
density-negative-09-jiang-qing-triple-political-legitimacy-yan-fu-free-speech-civil-society,jiang-qing-triple-political-legitimacy,yan-fu-free-speech-civil-society,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,iep-modern-chinese-expansion;jiang-qing-humane-authority-2013
density-negative-10-chen-lai-relational-value-priorities-yan-fu-free-speech-civil-society,chen-lai-relational-value-priorities,yan-fu-free-speech-civil-society,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,chen-lai-core-values-2015;iep-modern-chinese-expansion
density-negative-11-kang-youwei-great-unity-abolish-national-boundaries-qian-mu-cultural-subjectivity-without-rejecting-western-methods,kang-youwei-great-unity-abolish-national-boundaries,qian-mu-cultural-subjectivity-without-rejecting-western-methods,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-kang-datongshu-yibu-wikisource;src-qianmu-political-institutions-ntu
density-negative-12-zhao-tingyang-world-as-political-unit-qian-mu-cultural-subjectivity-without-rejecting-western-methods,zhao-tingyang-world-as-political-unit,qian-mu-cultural-subjectivity-without-rejecting-western-methods,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-qianmu-political-institutions-ntu;zhao-tingyang-tianxia-2009
density-negative-13-yang-zhu-for-self-no-hair-for-world-mozi-inclusive-care,yang-zhu-for-self-no-hair-for-world,mozi-inclusive-care,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mozi;src-mengzi-jinxin-i-yangzhu-ctext
density-negative-14-yang-zhu-for-self-no-hair-for-world-zhang-zai-cosmic-kinship,yang-zhu-for-self-no-hair-for-world,zhang-zai-cosmic-kinship,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-mengzi-jinxin-i-yangzhu-ctext;zhang-zai-ximing
density-negative-15-yang-zhu-for-self-no-hair-for-world-huang-yong-self-other-one-body,yang-zhu-for-self-no-hair-for-world,huang-yong-self-other-one-body,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,huang-yong-egoism-altruism-2018;src-mengzi-jinxin-i-yangzhu-ctext
density-negative-16-mozi-condemn-offensive-war-sunzi-victory-before-battle,mozi-condemn-offensive-war,sunzi-victory-before-battle,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mozi;src-sunzi-junxing-ctext
density-negative-17-mozi-condemn-offensive-war-sun-bin-war-neither-delight-nor-profit,mozi-condemn-offensive-war,sun-bin-war-neither-delight-nor-profit,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mozi;src-sunbin-jianweiwang-ctext
density-negative-18-laozi-wuwei-transformation-han-fei-two-handles,laozi-wuwei-transformation,han-fei-two-handles,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-laozi;src-hanfeizi-erbing-ctext
density-negative-19-laozi-wuwei-transformation-shen-buhai-technique-name-performance,laozi-wuwei-transformation,shen-buhai-technique-name-performance,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-laozi;src-hanfeizi-dingfa-ctext
density-negative-20-mencius-nature-good-gaozi-life-is-nature,mencius-nature-good,gaozi-life-is-nature,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mengzi;src-mengzi-gaozi-i-ctext
density-negative-21-mencius-nature-good-yang-xiong-nature-mixed-cultivation,mencius-nature-good,yang-xiong-nature-mixed-cultivation,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mengzi;src-yangzi-fayan-xiushen-ctext
density-negative-22-mencius-nature-good-dai-zhen-blood-qi-and-mind-one-root,mencius-nature-good,dai-zhen-blood-qi-and-mind-one-root,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-mengzi;dai-zhen-mengzi-ziyi-yu
density-negative-23-xunzi-nature-transformation-li-ao-nature-obscured-by-emotions,xunzi-nature-transformation,li-ao-nature-obscured-by-emotions,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-xunzi;src-liao-fuxingshu
density-negative-24-xunzi-nature-transformation-cheng-yi-nature-is-principle,xunzi-nature-transformation,cheng-yi-nature-is-principle,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,cheng-yi-yishu-xingli;ctext-xunzi
density-negative-25-xunzi-nature-transformation-hu-hong-nature-beyond-good-evil,xunzi-nature-transformation,hu-hong-nature-beyond-good-evil,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-xunzi;hu-hong-zhiyan
density-negative-26-xunzi-nature-transformation-wang-ji-four-nothings,xunzi-nature-transformation,wang-ji-four-nothings,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,ctext-xunzi;wang-ji-tianquanzhengdao
density-negative-27-gaozi-life-is-nature-cheng-yi-nature-is-principle,gaozi-life-is-nature,cheng-yi-nature-is-principle,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,cheng-yi-yishu-xingli;src-mengzi-gaozi-i-ctext
density-negative-28-gaozi-life-is-nature-li-ao-nature-obscured-by-emotions,gaozi-life-is-nature,li-ao-nature-obscured-by-emotions,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-liao-fuxingshu;src-mengzi-gaozi-i-ctext
density-negative-29-yang-xiong-nature-mixed-cultivation-cheng-yi-nature-is-principle,yang-xiong-nature-mixed-cultivation,cheng-yi-nature-is-principle,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,cheng-yi-yishu-xingli;src-yangzi-fayan-xiushen-ctext
density-negative-30-li-ao-nature-obscured-by-emotions-dai-zhen-li-fulfillment-feeling,li-ao-nature-obscured-by-emotions,dai-zhen-li-fulfillment-feeling,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,dai-zhen-mengzi-ziyi-li;src-liao-fuxingshu
density-negative-31-xiang-xiu-desire-natural-but-ritually-regulated-li-ao-nature-obscured-by-emotions,xiang-xiu-desire-natural-but-ritually-regulated,li-ao-nature-obscured-by-emotions,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-liao-fuxingshu;src-xiangxiu-nanyangsheng
density-negative-32-he-yan-nonbeing-ground-of-being-pei-wei-being-self-generates,he-yan-nonbeing-ground-of-being,pei-wei-being-self-generates,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-heyan-daolun-liezi-zhu-ctext;src-peiwei-chongyoulun
density-negative-33-zhang-zai-great-void-qi-he-yan-nonbeing-ground-of-being,zhang-zai-great-void-qi,he-yan-nonbeing-ground-of-being,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-heyan-daolun-liezi-zhu-ctext;zhang-zai-zhengmeng-taihe
density-negative-34-zhang-zai-great-void-qi-wang-bi-being-rooted-in-nonbeing,zhang-zai-great-void-qi,wang-bi-being-rooted-in-nonbeing,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-wangbi-daodejing-zhu-ctext;zhang-zai-zhengmeng-taihe
density-negative-35-wang-fuzhi-dao-in-concrete-things-he-yan-nonbeing-ground-of-being,wang-fuzhi-dao-in-concrete-things,he-yan-nonbeing-ground-of-being,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-heyan-daolun-liezi-zhu-ctext;wang-fuzhi-zhouyi-waizhuan-5
density-negative-36-wang-fuzhi-dao-in-concrete-things-wang-bi-being-rooted-in-nonbeing,wang-fuzhi-dao-in-concrete-things,wang-bi-being-rooted-in-nonbeing,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-wangbi-daodejing-zhu-ctext;wang-fuzhi-zhouyi-waizhuan-5
density-negative-37-zhang-xuecheng-way-never-separate-instruments-wang-bi-being-rooted-in-nonbeing,zhang-xuecheng-way-never-separate-instruments,wang-bi-being-rooted-in-nonbeing,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-wangbi-daodejing-zhu-ctext;zhang-xuecheng-yuan-dao
density-negative-38-chen-liang-dao-within-things-affairs-he-yan-nonbeing-ground-of-being,chen-liang-dao-within-things-affairs,he-yan-nonbeing-ground-of-being,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,chen-liang-jingshu-fati;src-heyan-daolun-liezi-zhu-ctext
density-negative-39-wang-chong-spontaneous-generation-dong-zhongshu-heaven-warns-ruler,wang-chong-spontaneous-generation,dong-zhongshu-heaven-warns-ruler,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-hanshu-dongzhongshu-ctext;src-lunheng-ziran-ctext
density-negative-40-wang-chong-dead-lack-awareness-ge-hong-immortality-learnable,wang-chong-dead-lack-awareness,ge-hong-immortality-learnable,negative,contrast,editorial,undirected,conceptual-only,reviewed,codex-negative-density-2026-07-17,2026-07-17,src-gehong-baopuzi-neipian;src-lunheng-lunshi-ctext
