id,type,title,url,citation_zh,citation_en
cheng-hao-shiren,primary-text-in-early-compilation,程颢〈识仁篇〉（《河南程氏遗书》卷二上）,https://ctext.org/wiki.pl?chapter=473691&if=gb,〔宋〕程颢口述，门人记录：〈识仁篇〉，《河南程氏遗书》卷二上；参《性理大全书》卷四所录，中国哲学书电子化计划电子本。,"Cheng Hao, 'Shiren pian' (Discerning Ren), disciple record in Henan Chengshi yishu, juan 2A; parallel text in Xingli daquan shu, juan 4, Chinese Text Project."
cheng-onto-hermeneutics-2000,author-peer-reviewed-article,"Chung-ying Cheng, “Confucian Onto-Hermeneutics: Morality and Ontology”",https://onlinelibrary.wiley.com/doi/pdf/10.1111/0301-8121.00003,成中英：〈Confucian Onto-Hermeneutics: Morality and Ontology〉，《Journal of Chinese Philosophy》27卷1期（2000），33—68页，DOI: 10.1111/0301-8121.00003。,"Chung-ying Cheng, “Confucian Onto-Hermeneutics: Morality and Ontology,” Journal of Chinese Philosophy 27.1 (2000): 33–68, https://doi.org/10.1111/0301-8121.00003."
cheng-yi-yishu-18,primary-text-in-early-compilation,程颐《河南程氏遗书》卷十八,https://ctext.org/wiki.pl?chapter=774488&if=gb,〔宋〕程颐口述，门人记录：《河南程氏遗书》卷十八，收入王孝鱼点校《二程集》，北京：中华书局，1981年。,"Cheng Yi, disciple record in Henan Chengshi yishu, juan 18; in Wang Xiaoyu, ed., Er Cheng ji (Beijing: Zhonghua Book Company, 1981)."
cheng-yi-yishu-xingli,disciple-record,《河南程氏遗书》卷二十二上,https://ctext.org/searchbooks.pl?if=gb&searchu=性即理也,〔宋〕程颐语，门人记录：《河南程氏遗书》卷二十二上。,"Sayings of Cheng Yi recorded by disciples, Henan Chengshi yishu, juan 22A."
ctext-analects,primary-text,The Analects,https://ctext.org/analects,中国哲学书电子化计划《论语》原典。,Chinese Text Project digital text of the Analects.
ctext-api,research-tool,Chinese Text Project API,https://ctext.org/tools/api,中国哲学书电子化计划官方API；仅用于文本发现，结果须与底本人工核对。,Official Chinese Text Project API; used for text discovery only and requiring manual comparison with an edition.
ctext-corpus,digital-text-corpus,Chinese Text Project,https://ctext.org/,中国哲学书电子化计划；用于先秦至前现代原典发现与稳定文本定位，具体观点仍须记录篇章定位并复核版本。,Chinese Text Project; used for discovery and stable locators in premodern texts while each position still requires a section locator and edition review.
ctext-laozi,primary-text,Dao De Jing,https://ctext.org/dao-de-jing,中国哲学书电子化计划《道德经》原典。,Chinese Text Project digital text of the Dao De Jing.
ctext-mengzi,primary-text,Mengzi,https://ctext.org/mengzi,中国哲学书电子化计划《孟子》原典。,Chinese Text Project digital text of the Mengzi.
ctext-mozi,primary-text,Mozi,https://ctext.org/mozi,中国哲学书电子化计划《墨子》原典。,Chinese Text Project digital text of the Mozi.
ctext-xunzi,primary-text,Xunzi,https://ctext.org/xunzi,中国哲学书电子化计划《荀子》原典。,Chinese Text Project digital text of the Xunzi.
ctext-zhuangzi,primary-text,Zhuangzi,https://ctext.org/zhuangzi,中国哲学书电子化计划《庄子》原典。,Chinese Text Project digital text of the Zhuangzi.
dai-zhen-mengzi-ziyi-li,primary-text,戴震《孟子字义疏证》卷上·理,https://sangle.web.wesleyan.edu/etext/song-qing/dai.html,〔清〕戴震：《孟子字义疏证》卷上〈理〉，中华书局1982年标点本；Wesleyan University 中国哲学电子文本计划电子本。,"Dai Zhen, Mengzi ziyi shuzheng, first juan, 'Li,' punctuated Zhonghua Book Company edition (1982); Wesleyan University Chinese Philosophical Etext Archive."
dai-zhen-mengzi-ziyi-yu,primary-text,戴震《孟子字义疏证·理》,https://sangle.web.wesleyan.edu/etext/song-qing/dai.html,〔清〕戴震：《孟子字义疏证》卷上〈理〉。,"Dai Zhen, Mengzi ziyi shuzheng, first juan, 'Li.'"
ecnu-fengqi-wisdom-2005,peer-reviewed-journal-abstract,From General Epistemology to the Doctrine of Wisdom: The Essential Spirit of Feng Qi's Philosophy,https://xbzs.ecnu.edu.cn/EN/abstract/article/1000-5579/8642,陈小龙：《从广义认识论到智慧说——兼论冯契哲学的基本精神》，《华东师范大学学报（哲学社会科学版）》37卷2期，2005，第9—14页，DOI:10.16382/j.cnki.1000-5579.2005.02.003。,"Chen Xiaolong, ‘From General Epistemology to the Doctrine of Wisdom,’ Journal of East China Normal University (Philosophy and Social Sciences) 37.2 (2005): 9–14."
ecnu-yang-guorong,institutional-profile,杨国荣,https://www.philo.ecnu.edu.cn/aa/dc/c37148a436956/page.htm,华东师范大学哲学系杨国荣教授主页。,East China Normal University profile of Yang Guorong.
fung-history,scholarly-book,A History of Chinese Philosophy,https://search.worldcat.org/title/237532,冯友兰《中国哲学史》英译本。,Fung Yu-lan A History of Chinese Philosophy.
gu-yanwu-yu-qiushu,primary-letter,顾炎武《与友人论学书》,https://ctext.org/searchbooks.pl?if=gb&searchu=古之所謂理學經學也,〔清〕顾炎武：〈与友人论学书〉，《亭林文集》卷三。,"Gu Yanwu, 'Letter to a Friend on Learning,' Tinglin wenji, juan 3."
gu-yanwu-zhengshi,primary-text,顾炎武《日知录·正始》,https://zh.wikisource.org/zh-hant/%E6%97%A5%E7%9F%A5%E9%8C%84/%E5%8D%B7%E5%8D%81%E4%B8%89,〔清〕顾炎武：《日知录》卷十三〈正始〉，黄汝成集释，上海：上海古籍出版社，2006年。,"Gu Yanwu, Rizhilu, juan 13, 'Zhengshi,' annotated by Huang Rucheng (Shanghai Guji, 2006)."
hop-method,project-method,History of Philosophy: project method,https://www.denizcemonduygu.com/philo/,原项目公开方法说明：以有出处的命题摘要而非名言堆砌为节点。,Public methodology of the reference project: sourced summaries of positions rather than collections of quotations.
hu-hong-zhiyan,primary-text,胡宏《知言》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E7%9F%A5%E8%A8%80,〔宋〕胡宏：《知言》卷四，收入吴仁华点校《胡宏集》，北京：中华书局，1987年。,"Hu Hong, Zhiyan, juan 4, in Wu Renhua, ed., Hu Hong ji (Beijing: Zhonghua, 1987)."
huang-yong-egoism-altruism-2018,author-peer-reviewed-article,"Huang Yong, “Confucian Ethics: Altruistic? Egoistic? Both? Neither?”",https://academic.hep.com.cn/fpc/EN/10.3868/s030-007-018-0017-1,黄勇：〈Confucian Ethics: Altruistic? Egoistic? Both? Neither?〉，《Frontiers of Philosophy in China》13卷2期（2018），217—231页，DOI: 10.3868/s030-007-018-0017-1。,"Yong Huang, “Confucian Ethics: Altruistic? Egoistic? Both? Neither?” Frontiers of Philosophy in China 13.2 (2018): 217–231, https://doi.org/10.3868/s030-007-018-0017-1."
huang-zongxi-yuanfa,primary-text,黄宗羲《明夷待访录·原法》,https://ctext.org/wiki.pl?chapter=740433&if=gb,〔清〕黄宗羲：《明夷待访录》〈原法〉。,"Huang Zongxi, Mingyi daifang lu, 'On Law.'"
huang-zongxi-yuanjun,primary-text,黄宗羲《明夷待访录·原君》,https://ctext.org/wiki.pl?chapter=267861&if=gb,〔清〕黄宗羲：《明夷待访录·原君》，中国哲学书电子化计划电子本。,"Huang Zongxi, 'Yuan jun' (On the Ruler), Mingyi daifang lu, Chinese Text Project digital text."
iep-feng-youlan,scholarly-encyclopedia,Feng Youlan (Fung Yu-lan),https://iep.utm.edu/feng/,《冯友兰》，Internet Encyclopedia of Philosophy。,"‘Feng Youlan (Fung Yu-lan),’ Internet Encyclopedia of Philosophy."
iep-feng-youlan-expansion,scholarly-encyclopedia,Feng Youlan (Fung Yu-lan),https://iep.utm.edu/feng/,《冯友兰》，Internet Encyclopedia of Philosophy，第2节“哲学著作”。,"‘Feng Youlan (Fung Yu-lan),’ Internet Encyclopedia of Philosophy, section 2, Philosophical Works."
iep-modern-chinese-expansion,scholarly-encyclopedia,"Chinese Philosophy, Modern",https://iep.utm.edu/modern-chinese-philosophy/,《现代中国哲学》，Internet Encyclopedia of Philosophy；本批使用反传统思潮、1923年科玄论战等节。,"‘Chinese Philosophy, Modern,’ Internet Encyclopedia of Philosophy; sections on anti-traditional thought and the 1923 science-metaphysics debate."
iep-modern-chinese-philosophy,scholarly-encyclopedia,"Chinese Philosophy, Modern",https://iep.utm.edu/modern-chinese-philosophy/,《现代中国哲学》，Internet Encyclopedia of Philosophy。,"‘Chinese Philosophy, Modern,’ Internet Encyclopedia of Philosophy."
iep-zhang-junmai-expansion,scholarly-encyclopedia,Zhang Junmai (Carsun Chang),https://iep.utm.edu/zhang-ju/,《张君劢（Carsun Chang）》，Internet Encyclopedia of Philosophy，第2—4节。,"‘Zhang Junmai (Carsun Chang),’ Internet Encyclopedia of Philosophy, sections 2–4."
jiang-qing-humane-authority-2013,author-book-chapter-preview,"Jiang Qing, “The Way of the Humane Authority”",https://academic.oup.com/princeton-scholarship-online/book/30629/chapter-abstract/259414352?login=false,蒋庆：〈The Way of the Humane Authority: The Theoretical Basis for Confucian Constitutionalism and a Tricameral Parliament〉，载《A Confucian Constitutional Order》，Daniel A. Bell、Ruiping Fan编，Princeton University Press，2013年，第1章。,"Jiang Qing, “The Way of the Humane Authority,” in A Confucian Constitutional Order, ed. Daniel A. Bell and Ruiping Fan (Princeton University Press, 2013), chap. 1."
jiao-xun-mengzi-zhengyi,primary-text,焦循《孟子正义》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E5%AD%9F%E5%AD%90%E6%AD%A3%E7%BE%A9,〔清〕焦循：《孟子正义》卷二十六〈尽心章句上〉，沈文倬点校，北京：中华书局，1987年。,"Jiao Xun, Mengzi zhengyi, juan 26, commentary on Jinxin I, ed. Shen Wenzhuo (Beijing: Zhonghua, 1987)."
li-chenyang-dynamic-harmony-2023,author-academic-book-chapter,"Chenyang Li, “Dynamic Harmony”",https://academic.oup.com/book/49411/chapter/418964636,李晨阳：〈Dynamic Harmony〉，《Reshaping Confucianism: A Progressive Inquiry》，Oxford University Press，2023年，第1章，27—52页。,"Chenyang Li, “Dynamic Harmony,” in Reshaping Confucianism: A Progressive Inquiry (Oxford University Press, 2023), chap. 1, 27–52."
li-gong-shugu,disciple-compilation,《恕谷后集》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E6%81%95%E8%B0%B7%E5%BE%8C%E9%9B%86,〔清〕李塨：《恕谷后集》卷二〈答门人问学〉，冯辰等编《李塨集》，北京：中华书局，1985年。,"Li Gong, Shugu houji, juan 2, reply to students; Li Gong ji (Beijing: Zhonghua, 1985)."
li-zehou-subjectality-response-1999,author-article-with-peer-reviewed-reconstruction,"Li Zehou, “Subjectivity and ‘Subjectality’: A Response”",https://philpapers.org/rec/ZEHSAS,李泽厚：〈Subjectivity and ‘Subjectality’: A Response〉，《Philosophy East and West》49卷2期（1999），174—183页；直接引文另据Jana S. Rošker对李泽厚1985年〈关于主体性的补充说明〉的同行评审重构。,"Li Zehou, “Subjectivity and ‘Subjectality’: A Response,” Philosophy East and West 49.2 (1999): 174–183; direct wording cross-checked through Jana S. Rošker’s peer-reviewed reconstruction of Li’s 1985 supplementary explanation."
li-zhi-dafen-shu-dayong,primary-text,李贽《答邓石阳》,https://zh.wikisource.org/wiki/焚書/卷1,〔明〕李贽：〈答邓石阳〉，《焚书》卷一。,"Li Zhi, 'Reply to Deng Shiyang,' Fen shu, juan 1."
li-zhi-tongxinshuo,primary-text,李贽《焚书》卷三·童心说,https://zh.wikisource.org/wiki/%E7%84%9A%E6%9B%B8/%E5%8D%B73,〔明〕李贽：〈童心说〉，《焚书》卷三；张建业主编《李贽全集注》，北京：社会科学文献出版社，2010年。,"Li Zhi, 'Tongxin shuo' (On the Childlike Mind), Fen shu, juan 3; in Zhang Jianye, ed., Li Zhi quanji zhu (Beijing: Social Sciences Academic Press, 2010)."
liu-zhi-tianfang,primary-text,刘智《天方性理》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E5%A4%A9%E6%96%B9%E6%80%A7%E7%90%86,〔清〕刘智：《天方性理》本经第一章，清康熙刻本；收入余振贵主编《中国回族典籍丛书》。,"Liu Zhi, Tianfang xingli, Root Classic, chapter 1, Kangxi edition; Chinese Hui Classics Series."
liu-zongzhou-renpu,primary-text,刘宗周《人谱》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E4%BA%BA%E8%AD%9C,〔明〕刘宗周：《人谱》，《刘宗周全集》第二册，杭州：浙江古籍出版社，2007年。,"Liu Zongzhou, Renpu, Liu Zongzhou quanji, vol. 2 (Hangzhou: Zhejiang Guji, 2007)."
lu-jiuyuan-nianpu-36,primary-text-in-early-compilation,《象山先生全集》卷三十六·年谱,https://ctext.org/wiki.pl?chapter=115800&if=gb,〔宋〕陆九渊语，门人及家人编次：《象山先生全集》卷三十六〈年谱〉；参钟哲点校《陆九渊集》，北京：中华书局，1980年，卷三十六。,"Saying of Lu Jiuyuan preserved in the chronological biography, Xiangshan xiansheng quanji, juan 36; see Zhong Zhe, ed., Lu Jiuyuan ji (Beijing: Zhonghua Book Company, 1980), juan 36."
lu-jiuyuan-yulu-benxin,disciple-record,《象山先生全集》卷三十五·语录,https://ctext.org/searchbooks.pl?if=gb&searchu=人心有病須是剝落,〔宋〕陆九渊语，门人记录：《象山先生全集》卷三十五〈语录〉。,"Sayings of Lu Jiuyuan, Xiangshan xiansheng quanji, juan 35."
lu-jiuyuan-zashuo-22,primary-text-in-early-compilation,《象山先生全集》卷三十六·年谱,https://ctext.org/wiki.pl?chapter=115800&if=gb,〔宋〕陆九渊语，门人及家人编次：《象山先生全集》卷三十六〈年谱〉；参钟哲点校《陆九渊集》，北京：中华书局，1980年，卷三十六。,"Saying of Lu Jiuyuan preserved in the chronological biography, Xiangshan xiansheng quanji, juan 36; see Zhong Zhe, ed., Lu Jiuyuan ji (Beijing: Zhonghua Book Company, 1980), juan 36."
luo-rufang-xutan,disciple-record,《盱坛直诠》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E7%9B%B1%E5%A3%87%E7%9B%B4%E8%A9%AE,〔明〕罗汝芳讲，门人记录：《盱坛直诠》上卷，方祖猷等整理，南京：凤凰出版社，2007年。,"Lectures of Luo Rufang recorded by disciples, Xutan zhiquan, first juan (Nanjing: Phoenix, 2007)."
lv-zuqian-lize,disciple-record,《丽泽论说集录》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E9%BA%97%E6%BE%A4%E8%AB%96%E8%AA%AA%E9%9B%86%E9%8C%84,〔宋〕吕祖谦讲，门人记录：《丽泽论说集录》卷三，收入《吕祖谦全集》，杭州：浙江古籍出版社，2008年。,"Lectures of Lü Zuqian recorded by disciples, Lize lunshuo jilu, juan 3, in Lü Zuqian quanji (Hangzhou: Zhejiang Guji, 2008)."
ma-zhu-qingzhen,primary-text,马注《清真指南》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E6%B8%85%E7%9C%9F%E6%8C%87%E5%8D%97,〔清〕马注：《清真指南》卷一〈认主〉，清康熙刊本；收入余振贵主编《中国回族典籍丛书》。,"Ma Zhu, Qingzhen zhinan, juan 1, 'Recognizing the Lord,' Kangxi edition; reprinted in Chinese Hui Classics Series."
mia-mao-on-contradiction-expansion,digital-primary-text,毛泽东《矛盾论》（1937）,https://www.marxists.org/chinese/maozedong/marxist.org-chinese-mao-193708.htm,马克思主义文库所收毛泽东《矛盾论》电子文本；正式版本页码仍须对照《毛泽东选集》。,Electronic transcription of Mao Zedong's On Contradiction at Marxists Internet Archive; collected-edition pagination remains to be collated.
mia-mao-on-practice,digital-text-corpus,毛泽东《实践论》,https://www.marxists.org/chinese/maozedong/marxist.org-chinese-mao-193707.htm,马克思主义文库所收毛泽东《实践论》电子文本；正式版本定位仍须对照《毛泽东选集》。,Electronic text of Mao Zedong's On Practice in the Marxists Internet Archive; final edition-level review should use the Selected Works.
mou-history,scholarly-book,History of Chinese Philosophy,https://www.routledge.com/History-of-Chinese-Philosophy/Mou/p/book/9780415837422,牟博主编《中国哲学史》。,Bo Mou ed. History of Chinese Philosophy.
oxford-bibliography,scholarly-reference,Chinese Philosophy: Oxford Bibliographies,https://doi.org/10.1093/obo/9780195396577-0141,Bryan W. Van Norden《中国哲学》牛津书目。,Bryan W. Van Norden Chinese Philosophy in Oxford Bibliographies.
oxford-handbook-2025,scholarly-reference,The Oxford Handbook of Chinese Philosophy,https://doi.org/10.1093/oxfordhb/9780199945498.001.0001,Justin Tiwald 主编《牛津中国哲学手册》（Oxford University Press 2025）。,Justin Tiwald ed. The Oxford Handbook of Chinese Philosophy (Oxford University Press 2025).
qian-dehong-xuwang,participant-record,钱德洪《刻文录叙说》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E5%88%BB%E6%96%87%E9%8C%84%E6%95%98%E8%AA%AA,〔明〕钱德洪：〈刻文录叙说〉，附《王阳明全集》卷四十一，吴光等编校，上海：上海古籍出版社，2011年。,"Qian Dehong, prefatory account to the Wenlu, appended to Wang Yangming quanji, juan 41 (Shanghai Guji, 2011)."
robin-wang-yinyang-2012,author-book-preview,"Robin R. Wang, Yinyang: The Way of Heaven and Earth in Chinese Thought and Culture",https://assets.cambridge.org/97811070/00155/excerpt/9781107000155_excerpt.pdf,Robin R. Wang：《Yinyang: The Way of Heaven and Earth in Chinese Thought and Culture》，纽约：Cambridge University Press，2012年，导论及第2章。,"Robin R. Wang, Yinyang: The Way of Heaven and Earth in Chinese Thought and Culture (New York: Cambridge University Press, 2012), introduction and chap. 2."
ruan-yuan-lunren,primary-text,阮元《论语论仁论》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E8%AB%96%E8%AA%9E%E8%AB%96%E4%BB%81%E8%AB%96,〔清〕阮元：〈论语论仁论〉，《揅经室集》一集卷八，中华书局影印本，1993年。,"Ruan Yuan, 'Lunyu lun ren lun,' Yanjingshi ji, first collection, juan 8 (Zhonghua facsimile, 1993)."
sage-wang-ruoshui-alienation-1984,translated-primary-article,On the Problem of Alienation,https://journals.sagepub.com/doi/10.1177/000944558402000304,王若水：〈论异化问题〉英译，China Report 20卷3期，1984；期刊页面说明该文属于其异化与人道主义论争。,"Wang Ruoshui, ‘On the Problem of Alienation,’ China Report 20.3 (1984), translated primary article."
sep-confucius,scholarly-encyclopedia,Confucius,https://plato.stanford.edu/entries/confucius/,斯坦福哲学百科《孔子》。,Stanford Encyclopedia of Philosophy: Confucius.
sep-daoism,scholarly-encyclopedia,Daoism,https://plato.stanford.edu/entries/daoism/,斯坦福哲学百科《道家》。,Stanford Encyclopedia of Philosophy: Daoism.
sep-legalism,scholarly-encyclopedia,Legalism in Chinese Philosophy,https://plato.stanford.edu/entries/chinese-legalism/,斯坦福哲学百科《中国哲学中的法家》。,Stanford Encyclopedia of Philosophy: Legalism in Chinese Philosophy.
sep-mencius,scholarly-encyclopedia,Mencius,https://plato.stanford.edu/entries/mencius/,斯坦福哲学百科《孟子》。,Stanford Encyclopedia of Philosophy: Mencius.
sep-modern-confucianism,scholarly-encyclopedia,Modern Confucianism,https://plato.stanford.edu/entries/confucianism-modern/,斯坦福哲学百科《现代儒学》。,Stanford Encyclopedia of Philosophy: Modern Confucianism.
sep-modern-confucianism-2023,scholarly-encyclopedia,Modern Confucianism,https://plato.stanford.edu/entries/confucianism-modern/,David Elstein，《现代儒学》，《斯坦福哲学百科全书》，2023。,"David Elstein, ‘Modern Confucianism,’ Stanford Encyclopedia of Philosophy, 2023."
sep-modern-confucianism-expansion-2023,scholarly-encyclopedia,Modern Confucianism,https://plato.stanford.edu/entries/confucianism-modern/,David Elstein，《现代儒学》，《斯坦福哲学百科全书》，2023年首刊；本批使用第1、3、4节的带行段定位网络版。,"David Elstein, ‘Modern Confucianism,’ Stanford Encyclopedia of Philosophy, first published 2023; cited by section and web paragraph."
sep-mohism,scholarly-encyclopedia,Mohism,https://plato.stanford.edu/entries/mohism/,斯坦福哲学百科《墨家》。,Stanford Encyclopedia of Philosophy: Mohism.
sep-neo-daoism,scholarly-encyclopedia,Neo-Daoism,https://plato.stanford.edu/entries/neo-daoism/,斯坦福哲学百科《玄学》。,Stanford Encyclopedia of Philosophy: Neo-Daoism.
sep-social-political,scholarly-encyclopedia,Social and Political Thought in Chinese Philosophy,https://plato.stanford.edu/entries/chinese-social-political/,斯坦福哲学百科《中国哲学中的社会与政治思想》。,Stanford Encyclopedia of Philosophy: Social and Political Thought in Chinese Philosophy.
sep-song-ming,scholarly-encyclopedia,Song-Ming Confucianism,https://plato.stanford.edu/entries/song-ming-confucianism/,斯坦福哲学百科《宋明儒学》。,Stanford Encyclopedia of Philosophy: Song-Ming Confucianism.
sep-xunzi,scholarly-encyclopedia,Xunzi,https://plato.stanford.edu/entries/xunzi/,斯坦福哲学百科《荀子》。,Stanford Encyclopedia of Philosophy: Xunzi.
sep-zhuangzi,scholarly-encyclopedia,Zhuangzi,https://plato.stanford.edu/entries/zhuangzi/,斯坦福哲学百科《庄子》。,Stanford Encyclopedia of Philosophy: Zhuangzi.
shao-yong-huangji-11,primary-text,邵雍《皇极经世》卷十一,https://zh.wikisource.org/zh-hant/%E7%9A%87%E6%A5%B5%E7%B6%93%E4%B8%96/%E5%8D%B7%E5%8D%81%E4%B8%80,〔宋〕邵雍：《皇极经世》卷十一〈观物篇五十一〉，维基文库四库全书系统电子本。,"Shao Yong, Huangji jingshi, juan 11, 'Guanwu pian 51,' Wikisource digital text in the Siku textual tradition."
sinica-hanji,digital-text-corpus,Academia Sinica Scripta Sinica,https://hanji.ihp.sinica.edu.tw/ihp/help.htm,中央研究院汉籍电子文献资料库；用于经史子集原文检索和与其他电子文本交叉核对。,Academia Sinica Scripta Sinica database; used to search classical texts and cross-check other digital transcriptions.
src-ai-siqi-dazhong-zhexue-fudan-study,primary-quotation-in-peer-reviewed-study,“哲学是关于世界观的学问”吗？,https://wmarxism.fudan.edu.cn/_upload/article/files/20/b3/d891560b4f60b3275e83cbb42fa4/2a4d0c2f-e5f4-4c51-b554-e91e3aabd647.pdf,俞吾金：〈“哲学是关于世界观的学问”吗？〉，复旦大学马克思主义研究院资料，讨论并引述艾思奇《大众哲学》对哲学与世界观的界定。,"Yu Wujin, “Is Philosophy the Study of Worldviews?”, Fudan University Institute of Marxism, discussing and quoting Ai Siqi's definition in Popular Philosophy."
src-analects-liren-ctext,primary-text-reported-speech,"《论语·里仁》 / Analects, ""Li Ren""",https://ctext.org/analects/li-ren/zh,《论语·里仁》，中国哲学书电子化计划电子本。,"Analects, ""Li Ren,"" Chinese Text Project electronic text."
src-analects-zihan-ctext,primary-text-reported-speech,"《论语·子罕》 / Analects, ""Zi Han""",https://ctext.org/analects/zi-han/zh,《论语·子罕》，中国哲学书电子化计划电子本。,"Analects, ""Zi Han,"" Chinese Text Project electronic text."
src-banzhao-nvjie,primary-text-digital-edition,女誡,https://zh.wikisource.org/zh/%E5%A5%B3%E8%AA%A1,班昭：《女誡》，維基文庫校錄本。,"Ban Zhao, Admonitions for Women (Nüjie), Wikisource digital text."
src-bodhidharma-two-entrances-critical-study,early-chan-text-with-disputed-attribution-in-scholarly-edition,《二入四行论》昙林序及本文（敦煌写本系统）,https://toyo.repo.nii.ac.jp/record/7606/files/higashiasiabukkyogaku1_127-155.pdf,伊吹敦：〈禅宗の成立と佛性觀の變容〉，据敦煌写本校录《二入四行论》昙林序及本文，《東アジア仏教学術論集》第1号，2013年，第127—155页。,"Ibuki Atsushi, “The Formation of Chan and the Transformation of Buddha-nature Thought,” East Asian Buddhist Studies 1 (2013), pp. 127–155, including a critically presented text from the Dunhuang Two Entrances and Four Practices manuscript tradition."
src-changyan-zhong-zhongchangtong,primary-fragments-in-official-history,"仲长统《昌言》卷中 / Changyan, middle scroll",https://zh.wikisource.org/zh-hans/%E6%98%8C%E8%A8%80/%E5%8D%B7%E4%B8%AD,仲长统：《昌言》卷中，传世辑本，维基文库电子本。,"Zhongchang Tong, Changyan, middle scroll, received reconstructed text on Wikisource."
src-chunqiu-fanlu-wuxing,received-text-traditional-attribution,《春秋繁露·五行相生》 / Luxuriant Gems of the Spring and Autumn Annals,https://ctext.org/chun-qiu-fan-lu/wu-xing-xiang-sheng/zh,传统归董仲舒：《春秋繁露·五行相生》，中国哲学书电子化计划电子本。,"Traditionally attributed to Dong Zhongshu, Chunqiu fanlu, 'Mutual Generation of the Five Phases,' Chinese Text Project."
src-daosheng-fahuajingshu-cbeta,attributed-primary-commentary-critical-digital-edition,法華經疏,https://cbetaonline.dila.edu.tw/zh/X0577,竺道生撰：《法華經疏》卷一，《卍新纂大日本續藏經》第27冊第577號，CBETA 電子佛典集成。,"Attributed to Zhu Daosheng, Commentary on the Lotus Sutra, juan 1, Manji Shinsan Dainihon Zokuzōkyō 27, no. 577, CBETA."
