relation_id,source_claim_id,target_claim_id,polarity,subtype,basis,direction,historical_influence,evidence_review_status,relation_review_status,publish_status,reviewer,reviewed_at
density-c-532b43e61559b0,ruan-yuan-ren-between-persons,zhang-dongsun-knowledge-culturally-and-linguistically-mediated,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-65c26a3328c5ee,zhou-dunyi-sincerity-root-practice,cheng-hao-ren-one-body,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-6901f58702f10e,lu-buwei-law-must-change-with-times,zhang-taiyan-revolution-produces-public-reason-and-removes-custom,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-6d0d5fde8807d4,zengzi-confucian-way-zhong-shu,xiang-xiu-desire-natural-but-ritually-regulated,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-6d68ce60c20865,hui-shi-great-one-small-one,fan-zhen-mind-function-of-body,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-749c9a5cda0eda,yan-yuan-knowledge-through-practice,lao-szekwang-fundamental-question-method,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-805ef0470f015b,yang-zhu-for-self-no-hair-for-world,shenhui-no-thought-and-nonaction,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-808cf55793b2a4,shang-yang-law-trust-authority,sun-yat-sen-popular-sovereignty,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-83c70554f20961,wu-yubi-learning-in-minute-affairs,ai-siqi-philosophy-popular-language,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-84ac6b65c0a4ca,luo-rufang-filial-affection-original-mind,he-lin-confucianism-organic-renewal,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-87b291d0e66423,chen-liang-dao-within-things-affairs,chen-lai-relational-value-priorities,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-8a5983666817d1,xu-xing-ruler-shares-labor,zhao-tingyang-world-as-political-unit,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9103f561fe92ef,huan-tan-spirit-dependent-on-body,jin-yuelin-dao-formed-stuff-unity,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-97b7e0673a15ae,daosheng-all-beings-can-become-buddhas,zhiyi-three-thousand-in-one-thought,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9878876466b08c,wu-cheng-dao-within-mind,cheng-chung-ying-onto-hermeneutic-integration,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-98b00b0207618a,ge-hong-immortality-learnable,wei-yuan-learn-foreign-techniques-for-strategic-agency,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9de1a6e5eebf2e,li-zhi-daily-needs-human-relations,wang-ruoshui-socialist-alienation-humanism,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9f2eca8b4fdafc,chen-xianzhang-stillness-moral-intimation,li-da-dialectics-logic-epistemology-unified-practical-philosophy,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-a17066bc323cd3,lv-zuqian-historical-situated-understanding,liang-qichao-renew-the-people,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-a1b7afd636adc9,shenxiu-concentrate-mind-quiet-thought,qian-dehong-no-good-evil-and-cultivation,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-b5e5ff69da93da,han-fei-two-handles,yan-fu-free-speech-civil-society,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-b6a5a3e52f8e0c,wang-yinglin-learning-requires-broad-evidence,zhang-shiying-difference-and-interconnection,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-bbc8f074137bf8,li-ao-nature-obscured-by-emotions,huangbo-one-mind-no-external-buddha,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-bd86203e64049a,shen-buhai-technique-name-performance,gong-zizhen-institutions-change-talent-judgment,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-c5de687340ac83,li-gong-learning-is-enactment,feng-qi-theory-into-method-and-virtue,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-c8b8b9d77eebdd,guan-zhong-material-security-moral-order,jiang-qing-triple-political-legitimacy,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-c933bc92fd9d5f,sima-tan-six-schools-shared-governance,qian-mu-cultural-subjectivity-without-rejecting-western-methods,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-c971b6f3cc4b9a,wang-gen-self-respect-foundation-governance,huang-zongxi-world-primary-ruler-guest,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-cfbcc727fe3b49,sima-qian-death-value-by-purpose,bodhidharma-two-entrances-practice,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-def3d3b2cff123,pei-wei-being-self-generates,li-chenyang-dynamic-harmony-through-difference,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-df71643c84f44c,wang-chong-dead-lack-awareness,huineng-intrinsically-pure-self-nature,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-e48258e5a2a7e9,fazang-one-is-all-nonobstruction,feng-youlan-universal-particular-logical-analysis,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-e81cdb7e6d06b8,xu-heng-reverence-and-investigation,zhan-ruoshui-recognize-principle-everywhere,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-ec9a4546735bf7,gaozi-life-is-nature,huang-yong-self-other-one-body,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-f1d5ebfa69509a,wang-fuzhi-constant-principle-daily-renewal,zhang-dainian-creative-comprehensive-synthesis,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-f666fa9bfa8c8f,zou-yan-five-virtues-historical-succession,wang-hui-depoliticization-naturalizes-power,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-fd7edce7a60372,yan-hui-learning-culture-ritual,ban-zhao-educate-women,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-c-ff4d9c3ad906c8,liu-zhi-real-one-and-numerical-one,tu-weiming-anthropocosmic-embedded-humanity,positive,similarity,editorial,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,density-low-degree-agent-2026-07-17,2026-07-17
density-negative-01-confucius-rule-virtue-han-fei-two-handles,confucius-rule-virtue,han-fei-two-handles,negative,governance-method-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-02-mencius-kingly-way-han-fei-two-handles,mencius-kingly-way,han-fei-two-handles,negative,governance-method-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-03-mencius-people-priority-han-fei-two-handles,mencius-people-priority,han-fei-two-handles,negative,political-subject-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-04-xu-xing-ruler-shares-labor-han-fei-two-handles,xu-xing-ruler-shares-labor,han-fei-two-handles,negative,governance-method-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-05-xu-xing-ruler-shares-labor-shen-buhai-technique-name-performance,xu-xing-ruler-shares-labor,shen-buhai-technique-name-performance,negative,governance-method-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-06-huang-zongxi-law-public-not-dynastic-han-fei-two-handles,huang-zongxi-law-public-not-dynastic,han-fei-two-handles,negative,political-legitimacy-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-07-huang-zongxi-world-primary-ruler-guest-han-fei-two-handles,huang-zongxi-world-primary-ruler-guest,han-fei-two-handles,negative,political-subject-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-08-bai-tongdong-confucian-hybrid-regime-sun-yat-sen-popular-sovereignty,bai-tongdong-confucian-hybrid-regime,sun-yat-sen-popular-sovereignty,negative,qualified-legitimacy-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-09-jiang-qing-triple-political-legitimacy-yan-fu-free-speech-civil-society,jiang-qing-triple-political-legitimacy,yan-fu-free-speech-civil-society,negative,legitimacy-rights-emphasis-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-10-chen-lai-relational-value-priorities-yan-fu-free-speech-civil-society,chen-lai-relational-value-priorities,yan-fu-free-speech-civil-society,negative,value-priority-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-11-kang-youwei-great-unity-abolish-national-boundaries-qian-mu-cultural-subjectivity-without-rejecting-western-methods,kang-youwei-great-unity-abolish-national-boundaries,qian-mu-cultural-subjectivity-without-rejecting-western-methods,negative,political-scale-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-12-zhao-tingyang-world-as-political-unit-qian-mu-cultural-subjectivity-without-rejecting-western-methods,zhao-tingyang-world-as-political-unit,qian-mu-cultural-subjectivity-without-rejecting-western-methods,negative,political-scale-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-13-yang-zhu-for-self-no-hair-for-world-mozi-inclusive-care,yang-zhu-for-self-no-hair-for-world,mozi-inclusive-care,negative,ethical-scope-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-14-yang-zhu-for-self-no-hair-for-world-zhang-zai-cosmic-kinship,yang-zhu-for-self-no-hair-for-world,zhang-zai-cosmic-kinship,negative,ethical-scope-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-15-yang-zhu-for-self-no-hair-for-world-huang-yong-self-other-one-body,yang-zhu-for-self-no-hair-for-world,huang-yong-self-other-one-body,negative,self-other-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-16-mozi-condemn-offensive-war-sunzi-victory-before-battle,mozi-condemn-offensive-war,sunzi-victory-before-battle,negative,war-ethics-strategy-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-17-mozi-condemn-offensive-war-sun-bin-war-neither-delight-nor-profit,mozi-condemn-offensive-war,sun-bin-war-neither-delight-nor-profit,negative,war-ethics-strategy-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-18-laozi-wuwei-transformation-han-fei-two-handles,laozi-wuwei-transformation,han-fei-two-handles,negative,governance-method-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-19-laozi-wuwei-transformation-shen-buhai-technique-name-performance,laozi-wuwei-transformation,shen-buhai-technique-name-performance,negative,governance-method-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-20-mencius-nature-good-gaozi-life-is-nature,mencius-nature-good,gaozi-life-is-nature,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-21-mencius-nature-good-yang-xiong-nature-mixed-cultivation,mencius-nature-good,yang-xiong-nature-mixed-cultivation,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-22-mencius-nature-good-dai-zhen-blood-qi-and-mind-one-root,mencius-nature-good,dai-zhen-blood-qi-and-mind-one-root,negative,normative-anthropology-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-23-xunzi-nature-transformation-li-ao-nature-obscured-by-emotions,xunzi-nature-transformation,li-ao-nature-obscured-by-emotions,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-24-xunzi-nature-transformation-cheng-yi-nature-is-principle,xunzi-nature-transformation,cheng-yi-nature-is-principle,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-25-xunzi-nature-transformation-hu-hong-nature-beyond-good-evil,xunzi-nature-transformation,hu-hong-nature-beyond-good-evil,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-26-xunzi-nature-transformation-wang-ji-four-nothings,xunzi-nature-transformation,wang-ji-four-nothings,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-27-gaozi-life-is-nature-cheng-yi-nature-is-principle,gaozi-life-is-nature,cheng-yi-nature-is-principle,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-28-gaozi-life-is-nature-li-ao-nature-obscured-by-emotions,gaozi-life-is-nature,li-ao-nature-obscured-by-emotions,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-29-yang-xiong-nature-mixed-cultivation-cheng-yi-nature-is-principle,yang-xiong-nature-mixed-cultivation,cheng-yi-nature-is-principle,negative,human-nature-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-30-li-ao-nature-obscured-by-emotions-dai-zhen-li-fulfillment-feeling,li-ao-nature-obscured-by-emotions,dai-zhen-li-fulfillment-feeling,negative,emotion-cultivation-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-31-xiang-xiu-desire-natural-but-ritually-regulated-li-ao-nature-obscured-by-emotions,xiang-xiu-desire-natural-but-ritually-regulated,li-ao-nature-obscured-by-emotions,negative,emotion-cultivation-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-32-he-yan-nonbeing-ground-of-being-pei-wei-being-self-generates,he-yan-nonbeing-ground-of-being,pei-wei-being-self-generates,negative,being-nonbeing-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-33-zhang-zai-great-void-qi-he-yan-nonbeing-ground-of-being,zhang-zai-great-void-qi,he-yan-nonbeing-ground-of-being,negative,being-nonbeing-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-34-zhang-zai-great-void-qi-wang-bi-being-rooted-in-nonbeing,zhang-zai-great-void-qi,wang-bi-being-rooted-in-nonbeing,negative,being-nonbeing-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-35-wang-fuzhi-dao-in-concrete-things-he-yan-nonbeing-ground-of-being,wang-fuzhi-dao-in-concrete-things,he-yan-nonbeing-ground-of-being,negative,immanence-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-36-wang-fuzhi-dao-in-concrete-things-wang-bi-being-rooted-in-nonbeing,wang-fuzhi-dao-in-concrete-things,wang-bi-being-rooted-in-nonbeing,negative,immanence-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-37-zhang-xuecheng-way-never-separate-instruments-wang-bi-being-rooted-in-nonbeing,zhang-xuecheng-way-never-separate-instruments,wang-bi-being-rooted-in-nonbeing,negative,immanence-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-38-chen-liang-dao-within-things-affairs-he-yan-nonbeing-ground-of-being,chen-liang-dao-within-things-affairs,he-yan-nonbeing-ground-of-being,negative,immanence-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-39-wang-chong-spontaneous-generation-dong-zhongshu-heaven-warns-ruler,wang-chong-spontaneous-generation,dong-zhongshu-heaven-warns-ruler,negative,teleology-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-40-wang-chong-dead-lack-awareness-ge-hong-immortality-learnable,wang-chong-dead-lack-awareness,ge-hong-immortality-learnable,negative,death-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-41-fan-zhen-mind-function-of-body-ge-hong-immortality-learnable,fan-zhen-mind-function-of-body,ge-hong-immortality-learnable,negative,mind-body-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-42-huan-tan-spirit-dependent-on-body-ge-hong-immortality-learnable,huan-tan-spirit-dependent-on-body,ge-hong-immortality-learnable,negative,mind-body-transcendence-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-43-zhang-junmai-mind-free-will-causality-fan-zhen-mind-function-of-body,zhang-junmai-mind-free-will-causality,fan-zhen-mind-function-of-body,negative,mind-body-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
density-negative-44-zhang-junmai-mind-free-will-causality-huan-tan-spirit-dependent-on-body,zhang-junmai-mind-free-will-causality,huan-tan-spirit-dependent-on-body,negative,mind-body-contrast,analytical-contrast-between-reviewed-claims-with-located-claim-evidence,undirected,conceptual-only,located-evidence-reviewed,reviewed,published,codex-negative-density-2026-07-17,2026-07-17
