relation_id,source_id,locator,excerpt_id,evidence_role,evidence_status,reviewer,reviewed_at
density-c-1a74df3d684b0d,src-sengzhao-zhaolun-cbeta,"T45, no. 1858, p. 152a-b，〈不真空論〉“万物果有其所以不有”段",ex-sengzhao-emptiness-not-annihilation,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-1a74df3d684b0d,src-sengzhao-zhaolun-cbeta,"T45, no. 1858, p. 152a-b，〈不真空論〉“万物果有其所以不有”段",ex-density-c-1a74df3d684b0d-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-1a74df3d684b0d,src-sunzi-junxing-ctext,《孙子兵法·军形》第四篇，胜兵先胜段,ex-sunzi-victory-before-battle,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-1cf1399f7f05f2,src-kang-datongshu-yibu-wikisource,《大同书·乙部》“去国界合大地”条，第四项,ex-kang-youwei-great-unity-abolish-national-boundaries,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-1cf1399f7f05f2,src-kang-datongshu-yibu-wikisource,《大同书·乙部》“去国界合大地”条，第四项,ex-density-c-1cf1399f7f05f2-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-1cf1399f7f05f2,src-wangfu-qianfulun,卷五〈愛日第十八〉开篇,ex-wang-fu-people-ground-state,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-24e4f60a152f28,src-liji-zhongyong-ctext,《礼记·中庸》第二十章，论诚段,ex-zisi-sincerity-heaven-human-way,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-24e4f60a152f28,zhang-shi-yili,朱熹《晦庵先生朱文公文集》卷八十九〈右文殿修撰张公神道碑〉引张栻常言,ex-zhang-shi-righteousness-without-profit-motive,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-24e4f60a152f28,zhang-shi-yili,朱熹《晦庵先生朱文公文集》卷八十九〈右文殿修撰张公神道碑〉引张栻常言,ex-density-c-24e4f60a152f28-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-29a76d9ea9d752,robin-wang-yinyang-2012,"Yinyang, Introduction, pp. 6–12; chap. 2, pp. 41–82",ex-robin-wang-yinyang-relational-generativity,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-29a76d9ea9d752,robin-wang-yinyang-2012,"Yinyang, Introduction, pp. 6–12; chap. 2, pp. 41–82",ex-density-c-29a76d9ea9d752-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-29a76d9ea9d752,ye-shi-zhongyong,《水心先生别集》卷七〈进卷·中庸〉首段,ex-ye-shi-one-realized-through-pairs,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-2b10b73e3b4477,src-hezhen-birth-chinese-feminism-cup,出版社内容提要，第1—3段；目录所列何殷震六篇论文,ex-he-zhen-gender-subjugation-interlocks-capitalism-imperialism-patriarchy,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-2b10b73e3b4477,src-hezhen-birth-chinese-feminism-cup,出版社内容提要，第1—3段；目录所列何殷震六篇论文,ex-density-c-2b10b73e3b4477-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-2b10b73e3b4477,src-jianzhukeshu-ctext,《谏逐客书》第四、第五段,ex-li-si-state-strength-through-inclusion,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-2d05e834874b05,src-gongsunlongzi-baimajun-ctext,《公孙龙子·白马论》开篇及“求马”“求白马”论证段,ex-gongsun-long-white-horse-not-horse,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-2d05e834874b05,src-xuanzang-zhenweishiliang,"T44, no. 1840, 卷上，疏释“真故极成色”量式段",ex-xuanzang-color-not-apart-consciousness,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-2d05e834874b05,src-xuanzang-zhenweishiliang,"T44, no. 1840, 卷上，疏释“真故极成色”量式段",ex-density-c-2d05e834874b05-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-2d94d6376c0e56,src-heyan-daolun-liezi-zhu-ctext,《列子》卷一〈天瑞〉张湛注引何晏《道论》,ex-he-yan-nonbeing-ground-of-being,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-2d94d6376c0e56,src-heyan-daolun-liezi-zhu-ctext,《列子》卷一〈天瑞〉张湛注引何晏《道论》,ex-density-c-2d94d6376c0e56-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-2d94d6376c0e56,src-zhouyi-qian-ctext,《周易》经文，乾卦卦辞,ex-king-wen-textual-tradition-qian-constancy,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-311a0eaa0aade4,src-jizang-erdi,"T45, no. 1854, 卷1〈釋名第一〉开篇",ex-jizang-two-truths-pedagogical,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-311a0eaa0aade4,yang-guorong-philosophical-horizons-2019,"Philosophical Horizons, chap. 1 “Metaphysics and the Metaphysical,” pp. 1–22; chap. 7, pp. 183–210",ex-yang-guorong-concrete-metaphysics-authentic-being,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-311a0eaa0aade4,yang-guorong-philosophical-horizons-2019,"Philosophical Horizons, chap. 1 “Metaphysics and the Metaphysical,” pp. 1–22; chap. 7, pp. 183–210",ex-density-c-311a0eaa0aade4-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-34dd21cb62305f,hu-hong-zhiyan,《知言》卷四〈知言疑义〉论性条,ex-hu-hong-nature-beyond-good-evil,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-34dd21cb62305f,hu-hong-zhiyan,《知言》卷四〈知言疑义〉论性条,ex-density-c-34dd21cb62305f-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-34dd21cb62305f,src-guoxiang-zhuangzi-xiaoyaoyou,郭象《庄子注·逍遥游》大鹏与小鸟比较段,ex-guo-xiang-independence-through-dependence,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-3af4363f72cedf,liu-zongzhou-renpu,《人谱》〈人极图说〉及〈证人要旨〉慎独条,ex-liu-zongzhou-vigilance-in-solitude,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-3af4363f72cedf,liu-zongzhou-renpu,《人谱》〈人极图说〉及〈证人要旨〉慎独条,ex-density-c-3af4363f72cedf-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-3af4363f72cedf,src-mazu-jingde,"T51, no. 2076, 卷6〈江西道一禪師〉“各信自心是佛”段",ex-mazu-mind-is-buddha,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-3b39f2b98caf8c,src-linji-lu-t47,"T47, no. 1985, p.498a，“示众”中“随处作主”段",ex-linji-master-of-every-situation,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-3b39f2b98caf8c,src-linji-lu-t47,"T47, no. 1985, p.498a，“示众”中“随处作主”段",ex-density-c-3b39f2b98caf8c-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-3b39f2b98caf8c,src-yangzi-fayan-xiushen-ctext,《扬子法言·修身卷第三》“人之性也善恶混”章,ex-yang-xiong-nature-mixed-cultivation,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-47123ff17083a5,shao-yong-huangji-11,《皇极经世》卷十一〈观物篇五十一〉首段至第三段,ex-shao-yong-cosmos-correlative-pairs,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-47123ff17083a5,src-fang-dongmei-chinese-life-quoted,《中国人生哲学》1985年第6版，第114—115页；网页注xiv所引段落,ex-fang-dongmei-universe-living-field,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-47123ff17083a5,src-fang-dongmei-chinese-life-quoted,《中国人生哲学》1985年第6版，第114—115页；网页注xiv所引段落,ex-density-c-47123ff17083a5-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-4dce31419f8840,iep-modern-chinese-philosophy,"section 3.c, paragraphs 3–4",ex-liang-shuming-cultural-inward-moderation,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-4dce31419f8840,iep-modern-chinese-philosophy,"section 3.c, paragraphs 3–4",ex-density-c-4dce31419f8840-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-4dce31419f8840,su-shi-riyu,《东坡全集》卷四十九〈日喻〉末段,ex-su-shi-knowledge-requires-practice,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-5320d617825eda,src-kuiji-chengweishi-shuji,"T43, no. 1830, 卷1，p. 229a-b，序释“唯识”名义段",ex-kuiji-consciousness-only-not-nihilism,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-5320d617825eda,src-kuiji-chengweishi-shuji,"T43, no. 1830, 卷1，p. 229a-b，序释“唯识”名义段",ex-density-c-5320d617825eda-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-5320d617825eda,src-zhuangzi-tianxia-ctext,《庄子·天下》慎到、彭蒙、田骈论述段,ex-shen-dao-follow-necessity,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-532b43e61559b0,ruan-yuan-lunren,《揅经室集》一集卷八〈论语论仁论〉首段及结论段,ex-ruan-yuan-ren-between-persons,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-532b43e61559b0,src-zhangdongsun-iep-topics,“Zhang Dongsun: Pluralistic Cultural Epistemology”第2—3段,ex-zhang-dongsun-knowledge-culturally-and-linguistically-mediated,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-532b43e61559b0,src-zhangdongsun-iep-topics,“Zhang Dongsun: Pluralistic Cultural Epistemology”第2—3段,ex-density-c-532b43e61559b0-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-65c26a3328c5ee,cheng-hao-shiren,《河南程氏遗书》卷二上〈识仁篇〉开篇,ex-cheng-hao-ren-one-body,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-65c26a3328c5ee,cheng-hao-shiren,《河南程氏遗书》卷二上〈识仁篇〉开篇,ex-density-c-65c26a3328c5ee-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-65c26a3328c5ee,zhou-dunyi-tongshu-cheng,〈诚上第一〉、〈诚下第二〉,ex-zhou-dunyi-sincerity-root-practice,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-6901f58702f10e,src-lvshi-chunqiu-chajin-ctext,《吕氏春秋·慎大览·察今》“世易时移”段,ex-lu-buwei-law-must-change-with-times,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-6901f58702f10e,src-zhangtaiyan-bokang-wikisource,《驳康有为论革命书》中段，回应“公理未明、旧俗俱在”论证,ex-zhang-taiyan-revolution-produces-public-reason-and-removes-custom,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-6901f58702f10e,src-zhangtaiyan-bokang-wikisource,《驳康有为论革命书》中段，回应“公理未明、旧俗俱在”论证,ex-density-c-6901f58702f10e-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-6d0d5fde8807d4,src-analects-liren-ctext,《论语·里仁》4.15,ex-zengzi-confucian-way-zhong-shu,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-6d0d5fde8807d4,src-xiangxiu-nanyangsheng,〈難嵇叔夜養生論〉中段“生之為樂”段,ex-xiang-xiu-desire-natural-but-ritually-regulated,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-6d0d5fde8807d4,src-xiangxiu-nanyangsheng,〈難嵇叔夜養生論〉中段“生之為樂”段,ex-density-c-6d0d5fde8807d4-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-6d68ce60c20865,src-fanzhen-shenmie,《梁書》卷四十八〈儒林·范縝傳〉所载〈神滅論〉开篇问答,ex-fan-zhen-mind-function-of-body,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-6d68ce60c20865,src-fanzhen-shenmie,《梁書》卷四十八〈儒林·范縝傳〉所载〈神滅論〉开篇问答,ex-density-c-6d68ce60c20865-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-6d68ce60c20865,src-zhuangzi-tianxia-ctext,《庄子·天下》“惠施多方”后所列历物十事第一条,ex-hui-shi-great-one-small-one,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-749c9a5cda0eda,src-lao-szekwang-method-sinica,PDF第74—76页“基源研究法”讨论，转引《新编中国哲学史》卷一第14—15页,ex-lao-szekwang-fundamental-question-method,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-749c9a5cda0eda,src-lao-szekwang-method-sinica,PDF第74—76页“基源研究法”讨论，转引《新编中国哲学史》卷一第14—15页,ex-density-c-749c9a5cda0eda-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-749c9a5cda0eda,yan-yuan-xizhai,《习斋记余》卷三〈答齐笃公秀才书〉,ex-yan-yuan-knowledge-through-practice,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-805ef0470f015b,src-mengzi-jinxin-i-yangzhu-ctext,《孟子·尽心上》第二十六章,ex-yang-zhu-for-self-no-hair-for-world,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-805ef0470f015b,src-shenhui-xianzongji,《景德傳燈錄》卷三十所收〈顯宗記〉开篇,ex-shenhui-no-thought-and-nonaction,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-805ef0470f015b,src-shenhui-xianzongji,《景德傳燈錄》卷三十所收〈顯宗記〉开篇,ex-density-c-805ef0470f015b-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-808cf55793b2a4,src-shangjunshu-xiuquan-ctext,《群书治要》卷三十六《商君子·修权》开篇,ex-shang-yang-law-trust-authority,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-808cf55793b2a4,sunyatsen-sanmin-primary,《三民主义》‘民权主义’开篇,ex-sun-yat-sen-popular-sovereignty,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-808cf55793b2a4,sunyatsen-sanmin-primary,《三民主义》‘民权主义’开篇,ex-density-c-808cf55793b2a4-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-83c70554f20961,atlantis-ai-siqi-popular-philosophy-2017,"publisher abstract, sentences 1–3",ex-ai-siqi-philosophy-popular-language,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-83c70554f20961,atlantis-ai-siqi-popular-philosophy-2017,"publisher abstract, sentences 1–3",ex-density-c-83c70554f20961-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-83c70554f20961,wu-yubi-rilu,《康斋日录》娄谅从学条,ex-wu-yubi-learning-in-minute-affairs,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-84ac6b65c0a4ca,luo-rufang-xutan,《盱坛直诠》上卷，论赤子良心条,ex-luo-rufang-filial-affection-original-mind,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-84ac6b65c0a4ca,src-he-lin-wenhua-yu-rensheng-scan,《文化与人生》第一篇〈儒家思想的新开展〉开篇,ex-he-lin-confucianism-organic-renewal,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-84ac6b65c0a4ca,src-he-lin-wenhua-yu-rensheng-scan,《文化与人生》第一篇〈儒家思想的新开展〉开篇,ex-density-c-84ac6b65c0a4ca-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-87b291d0e66423,chen-lai-core-values-2015,《中华文明的核心价值》导论；清华大学机构页首段,ex-chen-lai-relational-value-priorities,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-87b291d0e66423,chen-lai-core-values-2015,《中华文明的核心价值》导论；清华大学机构页首段,ex-density-c-87b291d0e66423-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-87b291d0e66423,chen-liang-jingshu-fati,《龙川文集》卷九〈经书发题〉论道器段,ex-chen-liang-dao-within-things-affairs,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-8a5983666817d1,src-mengzi-tengwengong-i-ctext,《孟子·滕文公上》第四章，陈相转述许行之言,ex-xu-xing-ruler-shares-labor,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-8a5983666817d1,zhao-tingyang-tianxia-2009,"Diogenes 56.1 (2009), abstract, pp. 5–6",ex-zhao-tingyang-world-as-political-unit,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-8a5983666817d1,zhao-tingyang-tianxia-2009,"Diogenes 56.1 (2009), abstract, pp. 5–6",ex-density-c-8a5983666817d1-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9103f561fe92ef,src-hongmingji-xinlun-xingshen-ctext,《弘明集》卷五《新论形神》，火烛譬喻段,ex-huan-tan-spirit-dependent-on-body,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9103f561fe92ef,src-jinyuelin-hu-theory-dao-wiley,章内“Form and Stuff”及“Reality and Process”两节,ex-jin-yuelin-dao-formed-stuff-unity,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9103f561fe92ef,src-jinyuelin-hu-theory-dao-wiley,章内“Form and Stuff”及“Reality and Process”两节,ex-density-c-9103f561fe92ef-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-97b7e0673a15ae,src-daosheng-fahuajingshu-cbeta,"X27, no. 577, 卷1，〈見寶塔品第十一〉（CBETA PDF 印本第26页）",ex-daosheng-all-beings-can-become-buddhas,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-97b7e0673a15ae,src-zhiyi-mohezhiguan-cbeta,"T46, no. 1911, p. 54a5-10，卷5〈正修止觀·觀不思議境〉",ex-zhiyi-three-thousand-in-one-thought,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-97b7e0673a15ae,src-zhiyi-mohezhiguan-cbeta,"T46, no. 1911, p. 54a5-10，卷5〈正修止觀·觀不思議境〉",ex-density-c-97b7e0673a15ae-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9878876466b08c,cheng-onto-hermeneutics-2000,"Journal of Chinese Philosophy 27.1 (2000), pp. 33–38, 61–68",ex-cheng-chung-ying-onto-hermeneutic-integration,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9878876466b08c,cheng-onto-hermeneutics-2000,"Journal of Chinese Philosophy 27.1 (2000), pp. 33–38, 61–68",ex-density-c-9878876466b08c-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9878876466b08c,wu-cheng-benxinlouji,《吴文正集》卷二十六〈仙城本心楼记〉中段,ex-wu-cheng-dao-within-mind,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-98b00b0207618a,src-gehong-baopuzi-neipian,《抱朴子內篇》卷二〈論仙〉、卷三〈對俗〉辨“仙人有種”段,ex-ge-hong-immortality-learnable,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-98b00b0207618a,src-wei-haiguotuzhi-yuanxu-wikisource,《海国图志·原叙》首段，说明著书三旨处,ex-wei-yuan-learn-foreign-techniques-for-strategic-agency,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-98b00b0207618a,src-wei-haiguotuzhi-yuanxu-wikisource,《海国图志·原叙》首段，说明著书三旨处,ex-density-c-98b00b0207618a-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9de1a6e5eebf2e,li-zhi-dafen-shu-dayong,《焚书》卷一〈答邓石阳〉,ex-li-zhi-daily-needs-human-relations,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9de1a6e5eebf2e,sage-wang-ruoshui-alienation-1984,journal landing-page abstract and editorial introduction,ex-wang-ruoshui-socialist-alienation-humanism,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9de1a6e5eebf2e,sage-wang-ruoshui-alienation-1984,journal landing-page abstract and editorial introduction,ex-density-c-9de1a6e5eebf2e-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-9f2eca8b4fdafc,chen-xianzhang-mingshi,《明史》卷二百八十三〈陈献章传〉论其教学法段,ex-chen-xianzhang-stillness-moral-intimation,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9f2eca8b4fdafc,src-lida-knight-epistemology-logic,章首内容提要，第1句,ex-li-da-dialectics-logic-epistemology-unified-practical-philosophy,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-9f2eca8b4fdafc,src-lida-knight-epistemology-logic,章首内容提要，第1句,ex-density-c-9f2eca8b4fdafc-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-a17066bc323cd3,lv-zuqian-lize,《丽泽论说集录》卷三，论读史法条,ex-lv-zuqian-historical-situated-understanding,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-a17066bc323cd3,wikisource-xinminshuo,《新民说》第二节‘论新民为今日中国第一急务’,ex-liang-qichao-renew-the-people,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-a17066bc323cd3,wikisource-xinminshuo,《新民说》第二节‘论新民为今日中国第一急务’,ex-density-c-a17066bc323cd3-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-a1b7afd636adc9,qian-dehong-xuwang,钱德洪〈刻文录叙说〉记天泉证道及后续解释段,ex-qian-dehong-no-good-evil-and-cultivation,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-a1b7afd636adc9,qian-dehong-xuwang,钱德洪〈刻文录叙说〉记天泉证道及后续解释段,ex-density-c-a1b7afd636adc9-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-a1b7afd636adc9,src-shenxiu-datongbei,《唐文粹》卷六十三〈荊州玉泉寺大通禪師碑銘並序〉“开法大略”段,ex-shenxiu-concentrate-mind-quiet-thought,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-b5e5ff69da93da,iep-modern-chinese-expansion,"section 4.a ‘Yan Fu and Western Learning’, paragraph 2",ex-yan-fu-free-speech-civil-society,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-b5e5ff69da93da,iep-modern-chinese-expansion,"section 4.a ‘Yan Fu and Western Learning’, paragraph 2",ex-density-c-b5e5ff69da93da-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-b5e5ff69da93da,src-hanfeizi-erbing-ctext,《韩非子·二柄》开篇,ex-han-fei-two-handles,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-b6a5a3e52f8e0c,src-zhang-shiying-similarity-communication-pku,《北京大学学报》1995年第4期，第53—59页；网页摘要全文,ex-zhang-shiying-difference-and-interconnection,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
