review_id,entity_type,entity_id,review_dimension,decision,reviewer,reviewed_at,note,previous_revision,new_revision
batch-cheng-yi-reverence-investigation,claim,cheng-yi-reverence-investigation,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from song-qing-primary-2026-07-14-a; attribution: 属门人所记程颐语录；该句在二程文献与后世引录中归属稳定，但仍标明记录体性质。,,1
batch-dai-zhen-blood-qi-and-mind-one-root,claim,dai-zhen-blood-qi-and-mind-one-root,source-and-bilingual-batch-review,accepted-for-publication,codex-song-qing-primary-and-comparative-pass,2026-07-17,Imported from expansion-song-qing-2026-07-17; attribution: 戴震本人著作；据中国哲学书电子化计划影像转录复核。,,1
batch-dai-zhen-li-fulfillment-feeling,claim,dai-zhen-li-fulfillment-feeling,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from song-qing-primary-2026-07-14-a; attribution: 戴震本人著作；规范命题结合本节上下文解释“情得”，不将其简化为纵欲论。,,1
batch-daosheng-all-beings-can-become-buddhas,claim,daosheng-all-beings-can-become-buddhas,source-and-bilingual-batch-review,accepted-for-publication,codex-medieval-source-review,2026-07-17,Imported from medieval-primary-claims-2026-07-14; attribution: 《法华经疏》现本题竺道生撰，文本经后世藏本传承。道生多部相关论著已佚；这里只发布现存疏文能直接支持的“普遍成佛可能”，不把后世传记中的阐提故事伪装成作者原句。,,1
batch-density-c-00610bfe343d51,relation,density-c-00610bfe343d51,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-0d0a6331cf1572,relation,density-c-0d0a6331cf1572,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-0e72e2e6172e3f,relation,density-c-0e72e2e6172e3f,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-11c7fab7ee1e4b,relation,density-c-11c7fab7ee1e4b,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-15e7a0559152da,relation,density-c-15e7a0559152da,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-17e22c26258b2a,relation,density-c-17e22c26258b2a,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-1a74df3d684b0d,relation,density-c-1a74df3d684b0d,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-1cf1399f7f05f2,relation,density-c-1cf1399f7f05f2,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-1ea446a41e0e1a,relation,density-c-1ea446a41e0e1a,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-24e4f60a152f28,relation,density-c-24e4f60a152f28,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-29a76d9ea9d752,relation,density-c-29a76d9ea9d752,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-2b10b73e3b4477,relation,density-c-2b10b73e3b4477,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-2d05e834874b05,relation,density-c-2d05e834874b05,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-2d94d6376c0e56,relation,density-c-2d94d6376c0e56,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-311a0eaa0aade4,relation,density-c-311a0eaa0aade4,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-34dd21cb62305f,relation,density-c-34dd21cb62305f,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-3af4363f72cedf,relation,density-c-3af4363f72cedf,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-3b39f2b98caf8c,relation,density-c-3b39f2b98caf8c,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-47123ff17083a5,relation,density-c-47123ff17083a5,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-4dce31419f8840,relation,density-c-4dce31419f8840,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-5320d617825eda,relation,density-c-5320d617825eda,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-532b43e61559b0,relation,density-c-532b43e61559b0,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-65c26a3328c5ee,relation,density-c-65c26a3328c5ee,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-6901f58702f10e,relation,density-c-6901f58702f10e,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-6d0d5fde8807d4,relation,density-c-6d0d5fde8807d4,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-6d68ce60c20865,relation,density-c-6d68ce60c20865,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-749c9a5cda0eda,relation,density-c-749c9a5cda0eda,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-79c7df8071a1da,relation,density-c-79c7df8071a1da,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-805ef0470f015b,relation,density-c-805ef0470f015b,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-808cf55793b2a4,relation,density-c-808cf55793b2a4,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-83c70554f20961,relation,density-c-83c70554f20961,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-84ac6b65c0a4ca,relation,density-c-84ac6b65c0a4ca,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-87b291d0e66423,relation,density-c-87b291d0e66423,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-8a5983666817d1,relation,density-c-8a5983666817d1,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-9103f561fe92ef,relation,density-c-9103f561fe92ef,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-97b7e0673a15ae,relation,density-c-97b7e0673a15ae,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-9878876466b08c,relation,density-c-9878876466b08c,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-98b00b0207618a,relation,density-c-98b00b0207618a,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-9de1a6e5eebf2e,relation,density-c-9de1a6e5eebf2e,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-9f2eca8b4fdafc,relation,density-c-9f2eca8b4fdafc,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-a17066bc323cd3,relation,density-c-a17066bc323cd3,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-a1b7afd636adc9,relation,density-c-a1b7afd636adc9,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-b5e5ff69da93da,relation,density-c-b5e5ff69da93da,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-b6a5a3e52f8e0c,relation,density-c-b6a5a3e52f8e0c,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-bbc8f074137bf8,relation,density-c-bbc8f074137bf8,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-bd86203e64049a,relation,density-c-bd86203e64049a,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-c5de687340ac83,relation,density-c-c5de687340ac83,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-c8b8b9d77eebdd,relation,density-c-c8b8b9d77eebdd,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-c933bc92fd9d5f,relation,density-c-c933bc92fd9d5f,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-c971b6f3cc4b9a,relation,density-c-c971b6f3cc4b9a,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-cfbcc727fe3b49,relation,density-c-cfbcc727fe3b49,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-def3d3b2cff123,relation,density-c-def3d3b2cff123,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-df71643c84f44c,relation,density-c-df71643c84f44c,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-e48258e5a2a7e9,relation,density-c-e48258e5a2a7e9,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-e81cdb7e6d06b8,relation,density-c-e81cdb7e6d06b8,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-ec9a4546735bf7,relation,density-c-ec9a4546735bf7,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-f1d5ebfa69509a,relation,density-c-f1d5ebfa69509a,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-f666fa9bfa8c8f,relation,density-c-f666fa9bfa8c8f,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-fd7edce7a60372,relation,density-c-fd7edce7a60372,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-c-ff4d9c3ad906c8,relation,density-c-ff4d9c3ad906c8,relation-evidence-and-bilingual-review,accepted-for-publication,density-low-degree-agent-2026-07-17,2026-07-17,Imported from density-low-degree-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-01-confucius-rule-virtue-han-fei-two-handles,relation,density-negative-01-confucius-rule-virtue-han-fei-two-handles,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-02-mencius-kingly-way-han-fei-two-handles,relation,density-negative-02-mencius-kingly-way-han-fei-two-handles,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-03-mencius-people-priority-han-fei-two-handles,relation,density-negative-03-mencius-people-priority-han-fei-two-handles,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-04-xu-xing-ruler-shares-labor-han-fei-two-handles,relation,density-negative-04-xu-xing-ruler-shares-labor-han-fei-two-handles,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-05-xu-xing-ruler-shares-labor-shen-buhai-technique-name-performance,relation,density-negative-05-xu-xing-ruler-shares-labor-shen-buhai-technique-name-performance,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-06-huang-zongxi-law-public-not-dynastic-han-fei-two-handles,relation,density-negative-06-huang-zongxi-law-public-not-dynastic-han-fei-two-handles,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-07-huang-zongxi-world-primary-ruler-guest-han-fei-two-handles,relation,density-negative-07-huang-zongxi-world-primary-ruler-guest-han-fei-two-handles,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-08-bai-tongdong-confucian-hybrid-regime-sun-yat-sen-popular-sovereignty,relation,density-negative-08-bai-tongdong-confucian-hybrid-regime-sun-yat-sen-popular-sovereignty,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-09-jiang-qing-triple-political-legitimacy-yan-fu-free-speech-civil-society,relation,density-negative-09-jiang-qing-triple-political-legitimacy-yan-fu-free-speech-civil-society,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-10-chen-lai-relational-value-priorities-yan-fu-free-speech-civil-society,relation,density-negative-10-chen-lai-relational-value-priorities-yan-fu-free-speech-civil-society,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-11-kang-youwei-great-unity-abolish-national-boundaries-qian-mu-cultural-subjectivity-without-rejecting-western-methods,relation,density-negative-11-kang-youwei-great-unity-abolish-national-boundaries-qian-mu-cultural-subjectivity-without-rejecting-western-methods,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
batch-density-negative-12-zhao-tingyang-world-as-political-unit-qian-mu-cultural-subjectivity-without-rejecting-western-methods,relation,density-negative-12-zhao-tingyang-world-as-political-unit-qian-mu-cultural-subjectivity-without-rejecting-western-methods,relation-evidence-and-bilingual-review,accepted-for-publication,codex-negative-density-2026-07-17,2026-07-17,Imported from density-negative-2026-07-17; influence level: conceptual-only,,1
