claim_id,locale,text,explanation,tags,translation_status,translator,reviewer,reviewed_at
yu-textual-image-good-government-nourishes-people,en,"The image of Yu constructed in the later transmitted Counsels of the Great Yu holds that virtue is realized in good government, whose central task is nourishing the people by coordinating moral rectitude, useful provision, and enriched livelihood.","The node summarizes the passage's political ethic of nourishing the people without treating the chapter as a Xia-dynasty record; 'rectifying virtue, facilitating use, and enriching life' are interpreted only through their coordination in the same passage.",nourishing the people;good government;rectifying virtue;enriching life,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
yu-textual-image-good-government-nourishes-people,zh-CN,后世传本《大禹谟》塑造的大禹形象主张，德落实为善政，善政的要务在养民，并须协调正德、利民之用与厚生。,节点概括篇中“养民”的政治伦理结构，但不把该章当作夏代档案；尤其“正德、利用、厚生”只按同段并列关系解释。,养民;善政;正德;厚生,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,en,"Within the authorial tradition that assigns the Zhouyi hexagram statements to King Wen, Qian forecasts great success and states that benefit lies in steadfast correctness.","This uses the minimal divinatory sense of the hexagram statement and does not project the later Wenyan interpretation of yuan, heng, li, and zhen as four virtues back onto King Wen himself.",Qian;yuan heng li zhen;steadfast correctness;hexagram statement,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,zh-CN,在把《周易》卦辞传统归于周文王的作者谱系中，乾卦以“元亨，利贞”断定大通，并强调守持正固才有利。,这里采用卦辞的最低限度占断意义，不把《文言》后来将“元亨利贞”解释成四德的内容倒填为文王本人思想。,乾卦;元亨利贞;守正;卦辞,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,en,"The transmitted Kang Gao depicts the Duke of Zhou as an admonisher who takes King Wen's 'manifest virtue and cautious punishment' as a rule of government: make virtuous rule evident, use penalties carefully, and do not neglect widowers and widows.","The claim keeps together virtuous government, penal restraint, and protection of vulnerable people. It describes the Duke of Zhou in early-Zhou political memory as transmitted by the Shangshu, not a document demonstrably written in his hand.",manifest virtue and cautious punishment;virtuous rule;penalties;vulnerable people,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,zh-CN,《康诰》的传统传承把周公塑造成以文王“明德慎罚”为治理准则的训诫者：彰明德政，同时谨慎使用刑罚并照顾鳏寡。,命题保留德政、慎刑与弱者保护三个相连部分；它描述《尚书》周初政治记忆中的周公形象，而不是把篇中文字视为其亲笔著述。,明德慎罚;德政;刑罚;鳏寡,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
guan-zhong-material-security-moral-order,en,"Secure material provision is a social condition for ritual conduct and a sense of honor: when granaries are full people recognize ritual norms, and when food and clothing suffice they recognize honor and shame.",The claim connects ethical order with material conditions without asserting that prosperity automatically produces virtue; the passage identifies conditions of governance.,granaries;livelihood;ritual norms;honor and shame,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
guan-zhong-material-security-moral-order,zh-CN,稳定的物质供给是礼节与荣辱意识得以形成的社会条件：仓储充实，民众才知礼节；衣食充足，民众才知荣辱。,该命题把伦理秩序同经济基础相联系，但没有断言物质充足会自动产生德性；原文说的是治理条件。,仓廪;民生;礼节;荣辱,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
laozi-language-dao,en,Any Dao fixed in speech and naming fails to exhaust the enduring Dao.,The position marks a limit in language and naming when approaching ultimate reality.,Dao;naming;limits of language,reviewed,,phase1-editorial,2026-07-13
laozi-language-dao,zh-CN,可以被固定说出和命名的道，并不能穷尽恒常之道。,这条观点指出语言和名称对终极实在的把握存在限度。,道;名;语言限度,reviewed,,phase1-editorial,2026-07-13
laozi-wuwei-transformation,en,Wuwei is not mere inactivity but action that does not obstruct spontaneous transformation.,Chapter 37 links non-coercive action with the self-transformation of things.,wuwei;spontaneity;government,reviewed,,phase1-editorial,2026-07-13
laozi-wuwei-transformation,zh-CN,无为不是毫无作为，而是不以强制干预阻碍万物自化。,《道德经》第三十七章把无为与自发转化联系起来。,无为;自化;政治,reviewed,,phase1-editorial,2026-07-13
laozi-model-naturalness,en,"Human order should model earth, heaven, and Dao, with naturalness as the ultimate pattern.",The sequence of models places human norms within a wider natural process.,naturalness;heaven and humanity;Dao,reviewed,,phase1-editorial,2026-07-13
laozi-model-naturalness,zh-CN,人的秩序应取法地、天与道，并最终以自然为准则。,层层取法的结构把人类规范放在更大的自然过程之中。,自然;天人;道,reviewed,,phase1-editorial,2026-07-13
laozi-reversal-dao,en,Reversal is the movement of Dao; weakness is the function of Dao.,"Dao operates not through linear progress but through cyclical reversal—things that grow strong eventually revert to softness, and things that rise must return to the low. This is a core principle of Daoist cosmology.",reversal;Dao;cyclical change,reviewed,,phase1-editorial,2026-07-14
laozi-reversal-dao,zh-CN,反者道之动，弱者道之用。,道的运行不是线性前进，而是循环往复——物壮则老，高者必下，反归于柔。这是道家宇宙观的核心原理。,反;道;循环变化,reviewed,,phase1-editorial,2026-07-14
laozi-softness-overcomes,en,The softest thing in the world rides roughshod over the hardest; that without substance enters where there is no crevice.,"Water and similar soft things ultimately overcome what is hard and brittle. This is not mere passivity but a strategic recognition of the power of suppleness, flexibility, and non-resistance.",softness;water;strategy,reviewed,,phase1-editorial,2026-07-14
laozi-softness-overcomes,zh-CN,天下之至柔，驰骋天下之至坚，无有入无间。,水与至柔之物最终能穿透坚硬之物。这不是消极被动，而是对柔韧、灵活与不争之力的策略性认识。,柔弱;水;策略,reviewed,,phase1-editorial,2026-07-14
laozi-contentment,en,Contentment brings no disgrace; knowing when to stop brings no danger. Only thus can one long endure.,"The pursuit of excessive wealth, fame, or power leads to loss and harm. True sufficiency lies in knowing what is enough and stopping there—a practical ethics of moderation.",contentment;moderation;self-cultivation,reviewed,,phase1-editorial,2026-07-14
laozi-contentment,zh-CN,知足不辱，知止不殆，可以长久。,过度追求财富、名誉或权力终将导致损失与危害。真正的富足在于知其足而止——这是一种节制的实践伦理。,知足;节制;修身,reviewed,,phase1-editorial,2026-07-14
yan-ying-harmony-not-sameness,en,Political harmony is not conformity: ministers complete what is lacking and correct what is excessive in a ruler's judgment through differing counsel.,"The Yanzi chunqiu compares harmony to balancing a stew and musical tones; as a later compilation, it is not a verbatim court transcript.",harmony without sameness;remonstrance;political judgment,reviewed,codex-ultimate-candidate-expansion-2026-07-17,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
yan-ying-harmony-not-sameness,zh-CN,政治中的和谐不是附和，而是臣下以不同意见补足君主判断的不足、纠正其过度。,《晏子春秋》以调羹与音乐比喻多种成分相济；该书为后世编成的晏婴言行集，不能视为现场逐字记录。,和而不同;谏诤;政治判断,reviewed,codex-ultimate-candidate-expansion-2026-07-17,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
confucius-ren-ritual,en,Practicing ren requires disciplining oneself and returning to ritual propriety.,The Analects connects inner ethical cultivation with ritual practice; this summary is one position within Confucius's wider system.,ren;ritual;self-discipline,reviewed,,phase1-editorial,2026-07-13
confucius-ren-ritual,zh-CN,仁的实践要求克制自身并复归于礼。,《论语》把内在德性与礼的实践联系起来；这是一条观点摘要，不以单句名言代表孔子全部思想。,仁;礼;克己复礼,reviewed,,phase1-editorial,2026-07-13
confucius-reciprocity,en,Reciprocity requires not imposing on others what one would not accept oneself.,This summary presents negative reciprocity as a durable constraint on conduct toward others.,reciprocity;shu;ethics,reviewed,,phase1-editorial,2026-07-13
confucius-reciprocity,zh-CN,不把自己不愿承受的事施加于他人，是贯穿道德实践的恕道。,这条摘要以反向互惠说明人与人之间的伦理约束。,恕;互惠;伦理,reviewed,,phase1-editorial,2026-07-13
confucius-rule-virtue,en,Government by virtue creates order through moral example rather than coercion alone.,The pole-star analogy locates political order in the ruler's character and exemplary force.,virtuous rule;political order;example,reviewed,,phase1-editorial,2026-07-13
confucius-rule-virtue,zh-CN,以德为政能够通过人格感化形成秩序，而不只依赖强制。,北辰之喻把政治秩序建立在统治者的德性与示范作用上。,德治;政治秩序;示范,reviewed,,phase1-editorial,2026-07-13
confucius-rectification-names,en,Rectifying names ensures that words match realities and that names correspond to actual conduct.,"When names are rectified, speech flows smoothly, affairs succeed, and ritual and music can flourish. This position links linguistic clarity with political order.",rectification of names;language;political order,reviewed,,phase1-editorial,2026-07-14
confucius-rectification-names,zh-CN,正名要求名称与实际相符，名分与行为相称。,名正则言顺、事成功立，礼乐方能兴。该观点把语言的清晰度与政治秩序联系在一起。,正名;语言;政治秩序,reviewed,,phase1-editorial,2026-07-14
confucius-superior-person,en,The superior person (junzi) understands what is right; the petty person understands what is profitable.,This distinction frames moral cultivation as the difference between being motivated by rightness and being motivated by personal gain. The junzi is an ethical ideal of cultivated character.,junzi;superior person;rightness vs profit,reviewed,,phase1-editorial,2026-07-14
confucius-superior-person,zh-CN,君子喻于义，小人喻于利。,这一区分把道德修养界定为义与利之间的动机差异。君子是人格修养的伦理理想。,君子;小人;义利之辨,reviewed,,phase1-editorial,2026-07-14
confucius-harmony-difference,en,The superior person seeks harmony without uniformity; the petty person seeks uniformity without harmony.,"Harmony (he) preserves differences and brings diverse elements into productive relation, while uniformity (tong) forces identical agreement. This principle applies to both personal character and political community.",harmony;difference;junzi,reviewed,,phase1-editorial,2026-07-14
confucius-harmony-difference,zh-CN,君子和而不同，小人同而不和。,和保留差异并使多元事物形成富有生机的关系，同则强求一致。这一原则既适用于个人品格，也适用于政治共同体。,和;同;君子,reviewed,,phase1-editorial,2026-07-14
sunzi-victory-before-battle,en,The skillful force first creates conditions sufficient for victory and only then seeks battle; the defeated force fights first and only afterward hopes to win within the battle.,"The claim locates strategic advantage before combat, emphasizing knowable and preparable conditions of victory rather than relying on bravery during the clash.",victory before battle;advantage;preparation;strategic judgment,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
sunzi-victory-before-battle,zh-CN,善战者先创造足以取胜的条件，然后才寻求交战；失败者则先开战，再企求在战斗中侥幸取胜。,命题把战略优势置于交战之前，强调可知、可准备的胜势，而不是把胜负寄托于临场勇武。,先胜后战;胜势;准备;战略判断,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
yan-hui-learning-culture-ritual,en,Learning should broaden understanding through cultural learning and constrain practice through ritual; together they keep the learner advancing even after exhausting present ability.,This is Yan Hui's first-person account of Confucius's teaching. The claim preserves the paired structure of broadening through culture and restraint through ritual rather than treating his praise as a detached aphorism.,broad learning;ritual restraint;learning;cultivation,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
yan-hui-learning-culture-ritual,zh-CN,学习既要以文献与文化扩充认识，又要以礼约束实践；二者结合使学习者虽竭尽所能仍不断向前。,这是颜回对孔子教学方式的第一人称概括，命题保留“博文—约礼”的双重结构，不把师生赞叹当作独立名言。,博文;约礼;学习;修养,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
zengzi-confucian-way-zhong-shu,en,"Confucius's Way is threaded through loyalty to one's full moral commitment and reciprocity toward others, extending from oneself while measuring one's treatment of others by what one requires for oneself.",Zhong and shu are Zengzi's explanation of Confucius's claim that one thread runs through his Way. The normalized claim supplies minimal semantics without presenting later commentary as original wording.,zhong;shu;one unifying thread;reciprocity,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
zengzi-confucian-way-zhong-shu,zh-CN,孔子之道贯通于“忠”与“恕”：尽己以及人，并以对自身的要求衡量如何对待他人。,“忠恕”是曾子对孔子“一以贯之”的解释；规范化命题补出最低限度语义，但不把后世完整注疏冒充原句。,忠;恕;一以贯之;推己及人,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
mozi-inclusive-care,en,Social ethics should extend toward inclusive concern and practices of mutual benefit.,Inclusive care opposes concern restricted to oneself or one's immediate group and gives it practical form.,inclusive care;mutual benefit;ethics,reviewed,,phase1-editorial,2026-07-13
mozi-inclusive-care,zh-CN,社会伦理应扩大为兼相爱、交相利的普遍关切与互利实践。,兼爱要求超越只顾自身或亲近群体的偏爱，并落实为相互利益。,兼爱;互利;伦理,reviewed,,phase1-editorial,2026-07-13
mozi-care-order,en,"Mutual hostility produces disorder, while mutual care helps produce social order.",The Mohist account connects political order with how people and states treat others.,order;inclusive care;social ethics,reviewed,,phase1-editorial,2026-07-13
mozi-care-order,zh-CN,相互排斥和伤害导致社会混乱，相互关爱则有助于形成秩序。,墨子把治乱的根源与人们如何对待他人和他国联系起来。,治乱;兼爱;社会秩序,reviewed,,phase1-editorial,2026-07-13
mozi-merit-office,en,Public office should not be monopolized by fixed status but assigned to capable and worthy people.,The doctrine of elevating the worthy connects appointment with demonstrated ability rather than permanent rank.,merit;appointment;government,reviewed,,phase1-editorial,2026-07-13
mozi-merit-office,zh-CN,公共职位不应由固定身份垄断，而应举用有能力和德行的人。,尚贤论反对官位永久贵族化，并把任用与实际能力联系起来。,尚贤;任用;政治,reviewed,,phase1-editorial,2026-07-13
mozi-condemn-offensive-war,en,Offensive war is fundamentally unjust because it inflicts the greatest harm on the greatest number of people.,"Mozi condemns aggressive warfare as stealing on the grandest scale—killing countless people and wasting resources that could benefit everyone. Defensive war, however, is justified.",anti-war;justice;defensive strategy,reviewed,,phase1-editorial,2026-07-14
mozi-condemn-offensive-war,zh-CN,攻伐之战本质上是不义的，因为它给最多的人带来最大的伤害。,墨子将侵略战争斥为最大规模的盗窃——杀害无数民众，浪费本可造福众人的资源。但防御性战争是正当的。,非攻;正义;防御战略,reviewed,,phase1-editorial,2026-07-14
mozi-will-heaven,en,Heaven has a will (tianzhi) that desires universal benefit and opposes harm; it is the standard of rightness.,"Heaven's will provides an objective, transcendent foundation for moral order. Right action conforms to heaven's desire for inclusive care and benefit for all.",will of heaven;moral foundation;universal benefit,reviewed,,phase1-editorial,2026-07-14
mozi-will-heaven,zh-CN,天有意志，欲人之相爱相利，而恶人之相恶相贼——天志是义的标准。,天志为道德秩序提供了客观、超越的基础。正当的行为合乎天对兼相爱、交相利的意愿。,天志;道德基础;兴天下之利,reviewed,,phase1-editorial,2026-07-14
mozi-frugality,en,Frugality (jieyong) means limiting expenditure to what is useful and eliminating all unnecessary luxury.,"Extravagant funerals, elaborate rituals, and musical performances waste resources that could be used to feed the hungry, clothe the poor, and house the destitute. Utility is the measure of value.",frugality;utility;economy,reviewed,,phase1-editorial,2026-07-14
mozi-frugality,zh-CN,节用就是将用度限制在实用所需的范围内，去除一切不必要的奢华。,厚葬久丧、繁饰礼乐浪费了本可用于饥者得食、寒者得衣、劳者得息的资源。实用即是价值的衡量标准。,节用;功利;经济,reviewed,,phase1-editorial,2026-07-14
zisi-sincerity-heaven-human-way,en,"Sincerity is Heaven's way of undeceived reality, while bringing oneself to sincerity is the human way.","The claim distinguishes sincerity as inherent in cosmic order from the human practice of becoming sincere, linking metaphysical order and ethical cultivation through one concept.",sincerity;Way of Heaven;human way;cultivation,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
zisi-sincerity-heaven-human-way,zh-CN,诚是真实无妄的天道，而努力使自身达到诚则是人的道路。,命题区分自然秩序本然之诚与人的实践工夫，以同一概念连接形上秩序和伦理修养。,诚;天道;人道;修养,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
liezi-ceaseless-generation-transformation,en,Generation and transformation are not occasional events but continuous processes occurring in things at every moment.,'The Gifts of Heaven' describes cosmic process as constant generation and transformation. The claim preserves only that processual thesis without importing later legends about Lie Yukou.,generation and transformation;change;cosmic process;continuity,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
liezi-ceaseless-generation-transformation,zh-CN,生成与变化不是偶发事件，而是万物无时不在进行的持续过程。,《天瑞》以“常生常化”描述宇宙过程，命题仅保留其过程论判断，不把后世关于列御寇的传说混入。,生化;变化;宇宙过程;无常,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
yang-zhu-for-self-no-hair-for-world,en,"Yang Zhu's 'for oneself' position refuses injury to one's own person for the benefit of the world, even when the cost is only a single hair.","The node stays within Mengzi's polemical report: it does not infer that Yang Zhu rejected every form of aid, nor reconstruct a complete system from the later Liezi.",for oneself;bodily integrity;benefit of the world;Yang-Mo debate,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
yang-zhu-for-self-no-hair-for-world,zh-CN,杨朱的“为我”立场拒绝为了天下之利而损伤自身，即便代价只是一根毫毛。,该节点严格保留孟子的批评性表述，不进一步断言杨朱否定一切助人行为，也不借后出《列子》补造其完整体系。,为我;身体完整;天下之利;杨墨之辨,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
shang-yang-law-trust-authority,en,"A state is governed through law, trustworthiness, and authority: law must be upheld by ruler and ministers alike, while commands require credibility and authoritative force.",This is not the generic label that Shang Yang 'valued law'; it preserves the three stated conditions of rule and the claim that law is jointly maintained by ruler and ministers.,law;trustworthiness;authority;statecraft,reviewed,classical-2026-07-14-a,classical-2026-07-14-a,2026-07-17
shang-yang-law-trust-authority,zh-CN,国家获得治理依靠法、信、权三者：法须由君臣共同遵守，政令还必须可信并有权威保障。,该命题不是泛称商鞅“重法”，而是保存《修权》给出的三项治理条件，并突出法并非只约束百姓。,法;信;权;国家治理,reviewed,classical-2026-07-14-a,classical-2026-07-14-a,2026-07-17
shen-buhai-technique-name-performance,en,"The ruler's administrative technique consists in assigning offices by function, holding performance accountable to titles, and controlling appointment and punishment through assessment of actual ability.","Here 'name and actuality' refers to matching official titles with demonstrated performance, not merely to abstract linguistic classification; this is central to Shen Buhai's administrative technique.",administrative technique;name and performance;bureaucratic assessment;rulership,reviewed,classical-2026-07-14-a,classical-2026-07-14-a,2026-07-17
shen-buhai-technique-name-performance,zh-CN,君主之“术”在于依职授官、循名责实，并凭考核官员实际能力掌握任免赏罚。,这里的“名—实”是官职名称与履职事实的对应机制，而不是抽象的语言分类；它构成申不害行政术的核心。,术;循名责实;官僚考核;君主权力,reviewed,classical-2026-07-14-a,classical-2026-07-14-a,2026-07-17
sun-bin-war-neither-delight-nor-profit,en,"Because warfare bears on a state's survival, it must be examined carefully: delight in war brings ruin, treating victory as profit brings disgrace, and action should follow only after preparation.","The claim is not a generic slogan of caution; it combines recognition of war's necessity, rejection of bellicosity, and the requirement that preparation precede action.",caution in war;preparation;state survival;anti-bellicosity,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
sun-bin-war-neither-delight-nor-profit,zh-CN,战争关系国家存亡，必须审慎考察；好战会亡国，把取胜当作私利也会受辱，因此只能准备充分后行动。,该命题不是一般的“慎战”口号，而是把战争必要性、反好战和先备后动同时纳入判断。,慎战;备战;国家存亡;反好战,reviewed,classical-2-2026-07-14-a,classical-2-2026-07-14-a,2026-07-17
mencius-moral-sprouts,en,"Compassion, shame, deference, and moral discernment are beginnings of the cardinal virtues.",The four sprouts are cultivable moral beginnings rather than fully completed virtues.,four sprouts;compassion;moral development,reviewed,,phase1-editorial,2026-07-13
mencius-moral-sprouts,zh-CN,恻隐、羞恶、辞让和是非之心构成仁义礼智的道德开端。,四端说认为人具有可以培养发展的道德起点，而非已经完成的德性。,四端;恻隐;道德发展,reviewed,,phase1-editorial,2026-07-13
mencius-nature-good,en,"Human nature tends toward goodness as water tends downward, though circumstances can redirect it.",The water analogy asserts an orientation toward goodness rather than claiming that every actual action is good.,human nature;goodness;tendency,reviewed,,phase1-editorial,2026-07-13
mencius-nature-good,zh-CN,人性趋向善，如同水自然趋向低处，但环境仍可能使其偏离。,水之就下的比喻表达善的倾向，而不是每个行为都已经善。,性善;人性;倾向,reviewed,,phase1-editorial,2026-07-13
mencius-people-priority,en,Political judgment should place the people before state altars and the ruler.,The priority of the people connects legitimate rule with their security and recognition.,people;political legitimacy;ruler,reviewed,,phase1-editorial,2026-07-13
mencius-people-priority,zh-CN,政治评价应把人民置于社稷和君主之前。,民贵君轻把统治正当性与人民的安定和认可联系起来。,民本;政治正当性;君主,reviewed,,phase1-editorial,2026-07-13
mencius-kingly-way,en,The kingly way (wangdao) is government through moral exemplarity and benevolent care for the people's livelihood.,"A true king wins allegiance not through force but through benevolent governance—ensuring material security, reducing taxes, and cultivating the moral sprouts of the people. Might alone cannot win hearts.",kingly way;benevolent government;virtue politics,reviewed,,phase1-editorial,2026-07-14
mencius-kingly-way,zh-CN,王道是以道德感召力和对民生的仁政关怀来治国理政。,真正的王不是靠武力赢得服从，而是靠仁政——保障民生、轻徭薄赋、涵养民之善端。以力服人者，非心服也。,王道;仁政;德治,reviewed,,phase1-editorial,2026-07-14
mencius-rightness-profit,en,"When the ruler opens discussion with what is profitable, the whole state will scramble for profit and end in chaos.","Mencius argues that rightness (yi), not profit (li), should be the guiding principle of statecraft. When profit is made primary, everyone below will compete for gain and social order will collapse.",rightness vs profit;statecraft;ethics,reviewed,,phase1-editorial,2026-07-14
mencius-rightness-profit,zh-CN,王何必曰利？亦有仁义而已矣。上下交征利而国危矣。,孟子主张治国的指导原则应该是义而不是利。如果以利为先，则上下交相征利，社会秩序必将崩解。,义利之辨;治国;伦理,reviewed,,phase1-editorial,2026-07-14
mencius-flood-like-qi,en,"The flood-like qi (haoran zhi qi) is the supreme moral energy nurtured by accumulating rightness, not by seizing it through force.","This vast, unshakable qi fills the space between heaven and earth when one consistently acts from rightness. It cannot be faked—you grow it gradually through cumulative moral action, like growing a sprout.",flood-like qi;moral cultivation;vital energy,reviewed,,phase1-editorial,2026-07-14
mencius-flood-like-qi,zh-CN,浩然之气是至大至刚的道德能量，由集义所生，而非义袭而取。,当人持续以义行事时，这种至大至刚之气便充塞于天地之间。它不可伪造——只能通过日积月累的道德行动慢慢养成，如养苗然。,浩然之气;道德修养;气,reviewed,,phase1-editorial,2026-07-14
hui-shi-great-one-small-one,en,"The greatest whole has nothing outside it, and the smallest unit has nothing within it; the 'great one' and 'small one' mark opposite limits of whole and part.","This is the first of Hui Shi's ten theses preserved in 'All under Heaven,' posing limiting claims about space, totality, and divisibility.",great one;small one;whole and part;infinity,reviewed,classical-2026-07-14-a,classical-2026-07-14-a,2026-07-17
hui-shi-great-one-small-one,zh-CN,最大的整体没有外部，最小的单位没有内部；“大一”与“小一”标示了整体与部分的两个极限。,这是《天下》保存的惠施“历物十事”第一项，提出空间、整体和可分性的极限命题。,大一;小一;整体与部分;无限,reviewed,classical-2026-07-14-a,classical-2026-07-14-a,2026-07-17
zhuangzi-perspectives,en,"Opposed judgments of right and wrong shift with perspective, so fixed distinctions do not exhaust things.",The discussion of equalizing things loosens attachment to a single standpoint of judgment.,perspective;equalizing things;judgment,reviewed,,phase1-editorial,2026-07-13
zhuangzi-perspectives,zh-CN,彼此对立的是非判断会随立场变化，固定分别不足以穷尽事物。,齐物论通过相互转换的视角松动对单一判断标准的执着。,齐物;视角;是非,reviewed,,phase1-editorial,2026-07-13
