excerpt_id,person_id,source_id,locator,source_language,excerpt_text,retrieved_at,extraction_status,extractor,reviewer
ex-ultimate-wt-cc-09-bodhidharma-practice-huang-onebody-1,bodhidharma,src-bodhidharma-two-entrances-critical-study,PDF第141页，《二入四行论》本文开篇“夫入道多途”至“四行”目录,zh-Hans-modern,夫入道多途，要而言之，不出二種：一是理入，二是行入。……行入者，所謂四行。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-cai-yuanpei-education-personality,cai-yuanpei,wikisource-cai-education-1900,《一九〇〇年以来教育之进步》‘教育之高尚理想’,zh,教育者，養成人格之事業也。使僅僅為灌注知識、練習技能之作用，而不貫之以理想，則是機械之教育。,2026-07-17,locator-reviewed,modern-primary-batch,modern-primary-batch
ex-modern-density-cai-hu-new-culture-method-1,cai-yuanpei,iep-modern-chinese-expansion,"section 4.b, paragraphs 7–9; section 4.c",zh-Hans-modern,student leaders ... Hu Shi ... Cai Yuanpei,2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-modern-density-cai-mayifu-education-canon-1,cai-yuanpei,src-mayifu-liuyilun-zhexueyanjiu,"article abstract, sentences 3–4 on the interconnected system and hermeneutic circle",zh-Hans-modern,一个内在相互关联的义理系统和意义整体,2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-chen-lai-relational-value-priorities,chen-lai,chen-lai-core-values-2015,《中华文明的核心价值》导论；清华大学机构页首段,zh-CN,责任先于自由，义务先于权利，社群高于个人，和谐高于冲突。,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-density-negative-10-chen-lai-relational-value-priorities-yan-fu-free-speech-civil-society-1,chen-lai,iep-modern-chinese-expansion,"section 4.a ‘Yan Fu and Western Learning’, paragraph 2",zh-Hans-modern,freedom of speech as the foundation of a civil society,2026-07-17,locator-reviewed,codex-negative-density-2026-07-17,codex-negative-density-2026-07-17
ex-modern-density-chen-li-mainland-confucian-revisions-1,chen-lai,sep-modern-confucianism-expansion-2023,"section 6, paragraphs 2–3",zh-Hans-modern,some mainland scholars now developing their own modern Confucian philosophies,2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-chen-liang-dao-within-things-affairs,chen-liang,chen-liang-jingshu-fati,《龙川文集》卷九〈经书发题〉论道器段,lzh,夫盈宇宙者無非物，日用之間無非事；夫道非出於形氣之表，而常行於事物之間者也。,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-density-c-87b291d0e66423-1,chen-liang,chen-lai-core-values-2015,《中华文明的核心价值》导论；清华大学机构页首段,zh-Hans-modern,责任先于自由，义务先于权利，社群高于个人，和谐高于冲突。,2026-07-17,locator-reviewed,density-low-degree-agent-2026-07-17,density-low-degree-agent-2026-07-17
ex-density-negative-38-chen-liang-dao-within-things-affairs-he-yan-nonbeing-ground-of-being-1,chen-liang,src-heyan-daolun-liezi-zhu-ctext,《列子》卷一〈天瑞〉张湛注引何晏《道论》,zh-Hans-modern,有之為有，恃無以生；事而為事，由無以成。,2026-07-17,locator-reviewed,codex-negative-density-2026-07-17,codex-negative-density-2026-07-17
ex-sq-cl-wf-concrete-way-1,chen-liang,zhang-xuecheng-yuan-dao,《文史通义·原道中》开篇（用于同类概念的第三文本校验）,zh-Hans-modern,道不離器，猶影不離形。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-chen-xianzhang-stillness-moral-intimation,chen-xianzhang,chen-xianzhang-mingshi,《明史》卷二百八十三〈陈献章传〉论其教学法段,lzh,其教學者，但令端坐澄心，於靜中養出端倪。,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-density-c-9f2eca8b4fdafc-1,chen-xianzhang,src-lida-knight-epistemology-logic,章首内容提要，第1句,zh-Hans-modern,"dialectics, logic and the epistemology of dialectical materialism constitute a unified philosophy",2026-07-17,locator-reviewed,density-low-degree-agent-2026-07-17,density-low-degree-agent-2026-07-17
ex-density-xp-songqing-modern-01-chen-xianzhang-stillness-moral-intimation-tang-junyi-affective-connection-mind-world-1,chen-xianzhang,sep-modern-confucianism-expansion-2023,"section 3.2, paragraphs 6–9",zh-Hans-modern,mind and world are essentially connected and interdependent,2026-07-17,locator-reviewed,codex-cross-period-density-2026-07-17,codex-cross-period-density-2026-07-17
ex-cheng-chung-ying-onto-hermeneutic-integration,cheng-chung-ying,cheng-onto-hermeneutics-2000,"Journal of Chinese Philosophy 27.1 (2000), pp. 33–38, 61–68",en,Confucian Onto-Hermeneutics: Morality and Ontology,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-modern-density-cheng-yang-onto-hermeneutic-concrete-1,cheng-chung-ying,yang-guorong-philosophical-horizons-2019,"Philosophical Horizons, chapters 1 and 7, pp. 1–22 and 183–210",zh-Hans-modern,the original unity of being and the manifestations of being,2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-cheng-hao-ren-one-body,cheng-hao,cheng-hao-shiren,《河南程氏遗书》卷二上〈识仁篇〉开篇,lzh,學者須先識仁。仁者渾然與物同體，義禮智信皆仁也。識得此理，以誠敬存之而已。,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-cheng-yi-nature-is-principle,cheng-yi,cheng-yi-yishu-xingli,《河南程氏遗书》卷二十二上,lzh,性即理也。所谓理，性是也。天下之理，原其所自，未有不善。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-cheng-yi-reverence-investigation,cheng-yi,cheng-yi-yishu-18,《河南程氏遗书》卷十八，论涵养与进学条,lzh,涵養須用敬，進學則在致知。,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-sq-cy-lz-nature-desire-1,cheng-yi,li-zhi-dafen-shu-dayong,《焚书》卷一〈答邓石阳〉,zh-Hans-modern,世間種種，皆衣與飯類耳。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-sq-cy-zx-nature-investigation-1,cheng-yi,zhu-xi-daxue-gewu,《大学章句》格物致知补传,zh-Hans-modern,即凡天下之物，莫不因其已知之理而益窮之。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-sq-density-xuheng-chengyi-reverence-1,cheng-yi,xu-heng-luzhai-yishu,《鲁斋遗书》卷一〈语录〉论为学之方条,zh-Hans-modern,為學之方無他，主敬窮理而已。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-confucius-harmony-difference,confucius,ctext-analects,Analects 13.23 / 《论语·子路》,zh-Latn-classical,君子和而不同，小人同而不和。,2026-07-14,locator-reviewed,phase1-editorial,phase1-editorial
ex-confucius-reciprocity,confucius,ctext-analects,Analects 15.24 / 《论语·卫灵公》,lzh,己所不欲，勿施於人。,2026-07-14,locator-reviewed,manual-primary-text,phase1-editorial
ex-confucius-rectification-names,confucius,ctext-analects,Analects 13.3 / 《论语·子路》,zh-Latn-classical,正名要求名称与实际相符，名分与行为相称。,2026-07-14,locator-reviewed,phase1-editorial,phase1-editorial
ex-confucius-ren-ritual,confucius,ctext-analects,Analects 12.1 / 《论语·颜渊》,lzh,克己復禮為仁。一日克己復禮，天下歸仁焉。為仁由己，而由人乎哉？,2026-07-14,locator-reviewed,manual-primary-text,phase1-editorial
ex-confucius-rule-virtue,confucius,ctext-analects,Analects 2.1 / 《论语·为政》,lzh,為政以德，譬如北辰，居其所而眾星共之。,2026-07-14,locator-reviewed,manual-primary-text,phase1-editorial
ex-confucius-superior-person,confucius,ctext-analects,Analects 4.16 / 《论语·里仁》,zh-Latn-classical,君子喻于义，小人喻于利。,2026-07-14,locator-reviewed,phase1-editorial,phase1-editorial
ex-density-negative-01-confucius-rule-virtue-han-fei-two-handles-1,confucius,src-hanfeizi-erbing-ctext,《韩非子·二柄》开篇,zh-Hans-modern,明主之所导制其臣者，二柄而已矣。二柄者，刑德也。,2026-07-17,locator-reviewed,codex-negative-density-2026-07-17,codex-negative-density-2026-07-17
ex-density-xp-ancient-hantang-14-confucius-harmony-difference-sima-tan-six-schools-shared-governance-1,confucius,src-shiji-taishigongzixu-ctext,《史记·太史公自序》所录《论六家要旨》开篇,zh-Hans-modern,夫阴阳、儒、墨、名、法、道德，此务为治者也，直所从言之异路，有省不省耳。,2026-07-17,locator-reviewed,codex-cross-period-density-2026-07-17,codex-cross-period-density-2026-07-17
ex-density-xp-ancient-hantang-16-confucius-harmony-difference-sima-qian-death-value-by-purpose-1,confucius,src-hanshu-simaqian-ctext,《汉书·司马迁传》所录《报任安书》“人固有一死”段,zh-Hans-modern,人固有一死，或重于泰山，或轻于鸿毛，用之所趋异也。,2026-07-17,locator-reviewed,codex-cross-period-density-2026-07-17,codex-cross-period-density-2026-07-17
ex-rel-confucius-hanyu-succession-1,confucius,src-hanyu-yuandao,《原道》道统谱系段,zh-Hans-modern,文、武、周公传之孔子，孔子传之孟轲。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-rel-huiyuan-confucian-ritual-autonomy-1,confucius,src-huiyuan-shamen,T52 no.2102卷五《沙门不敬王者论·出家第二》,zh-Hans-modern,出家则是方外之宾，迹绝于物……皆遁世以求其志，变俗以达其道。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-rel-yanhui-confucius-learning-ritual-1,confucius,src-analects-zihan-ctext,《论语·子罕》9.11，颜渊喟然叹章,zh-Hans-modern,夫子循循然善诱人，博我以文，约我以礼。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-rel-zengzi-confucius-reciprocity-1,confucius,src-analects-liren-ctext,《论语·里仁》4.15,zh-Hans-modern,曾子曰：夫子之道，忠恕而已矣。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-rel-zhengxuan-confucius-ritual-formation-1,confucius,src-zhengxuan-liji-liji,《礼记郑氏注》卷十《礼器》“礼也者犹体也”章,zh-Hans-modern,礼也者，犹体也。体不备，君子谓之不成人。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-sq-cross-confucius-zhang-zai-care-1,confucius,ctext-analects,《论语·卫灵公》15.24,zh-Hans-modern,己所不欲，勿施於人。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-sq-density-mazhu-confucius-practice-1,confucius,ma-zhu-qingzhen,《清真指南》卷一〈认主〉开篇,zh-Hans-modern,本立而用行，教道備矣。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-ultimate-rel-yanying-confucius-harmony-difference-2,confucius,ctext-analects,Analects 13.23 / 《论语·子路》,lzh,君子和而不同，小人同而不和。,2026-07-17,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,codex-ultimate-candidate-expansion-2026-07-17
ex-dai-zhen-blood-qi-and-mind-one-root,dai-zhen,dai-zhen-mengzi-ziyi-yu,《孟子字义疏证》卷上，论血气心知一本,lzh,天下惟一本，無所外。有血氣，則有心知；有心知，則學以進於神明，一本然也。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-dai-zhen-li-fulfillment-feeling,dai-zhen,dai-zhen-mengzi-ziyi-li,《孟子字义疏证》卷上〈理〉首节,lzh,理也者，情之不爽失也；未有情不得而理得者也。,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-density-xp-songqing-modern-04-dai-zhen-li-fulfillment-feeling-tan-sitong-ren-as-communication-1,dai-zhen,wikisource-renxue,《仁学·仁学界说二十七界说》第1、7条,zh-Hans-modern,仁以通为第一义。……通之象为平等。,2026-07-17,locator-reviewed,codex-cross-period-density-2026-07-17,codex-cross-period-density-2026-07-17
ex-density-xp-songqing-modern-05-dai-zhen-li-fulfillment-feeling-yan-fu-national-strength-people-capacity-intelligence-virtue-1,dai-zhen,src-yan-yuanqiang-wikisource,《原强》末段，“今日要政，统于三端”处,zh-Hans-modern,一曰鼓民力，二曰开民智，三曰新民德。,2026-07-17,locator-reviewed,codex-cross-period-density-2026-07-17,codex-cross-period-density-2026-07-17
ex-density-xp-songqing-modern-08-dai-zhen-li-fulfillment-feeling-liang-qichao-renew-the-people-1,dai-zhen,wikisource-xinminshuo,《新民说》第二节‘论新民为今日中国第一急务’,zh-Hans-modern,新民为今日中国第一急务。,2026-07-17,locator-reviewed,codex-cross-period-density-2026-07-17,codex-cross-period-density-2026-07-17
ex-sq-cy-dz-desire-contrast-1,dai-zhen,dai-zhen-mengzi-ziyi-yu,《孟子字义疏证》卷上，论血气心知一本,zh-Hans-modern,天下惟一本，無所外。有血氣，則有心知。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-sq-dz-li-fulfillment-1,dai-zhen,dai-zhen-mengzi-ziyi-yu,《孟子字义疏证》卷上，论血气心知一本,zh-Hans-modern,有血氣，則有心知；有心知，則學以進於神明，一本然也。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-sq-dz-ry-interpersonal-ethics-1,dai-zhen,dai-zhen-mengzi-ziyi-yu,《孟子字义疏证》卷上〈理〉,zh-Hans-modern,生養之道，存乎欲者也。,2026-07-17,locator-reviewed,codex-song-qing-primary-and-comparative-pass,codex-song-qing-primary-and-comparative-pass
ex-daosheng-all-beings-can-become-buddhas,daosheng,src-daosheng-fahuajingshu-cbeta,"X27, no. 577, 卷1，〈見寶塔品第十一〉（CBETA PDF 印本第26页）",zh-Latn-buddhist-classical,既云三乘是一，一切眾生莫不是佛，亦皆泥洹。,2026-07-17,locator-reviewed,codex-medieval-source-review,codex-medieval-source-review
ex-density-c-97b7e0673a15ae-1,daosheng,src-zhiyi-mohezhiguan-cbeta,"T46, no. 1911, p. 54a5-10，卷5〈正修止觀·觀不思議境〉",zh-Hans-modern,夫一心具十法界，一法界又具十法界百法界；一界具三十種世間，百法界即具三千種世間。此三千在一念心。,2026-07-17,locator-reviewed,density-low-degree-agent-2026-07-17,density-low-degree-agent-2026-07-17
ex-rel-daosheng-huineng-buddha-nature-1,daosheng,src-huineng-tanjing-cbeta,T48 no.2008《坛经·行由品》,zh-Hans-modern,何期自性，本自清净。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-ultimate-wt-cc-04-daosheng-buddhahood-tu-embedded-1,daosheng,src-daosheng-fahuajingshu-cbeta,"X27, no. 577, 卷1，〈見寶塔品第十一〉（CBETA PDF 印本第26页）",zh-Hans-modern,既云三乘是一，一切眾生莫不是佛，亦皆泥洹。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-ultimate-wt-lq-03-daosheng-universal-tan-ren-1,daosheng,src-daosheng-fahuajingshu-cbeta,"X27, no. 577, 卷1，〈見寶塔品第十一〉（CBETA PDF 印本第26页）",zh-Hans-modern,既云三乘是一，一切眾生莫不是佛，亦皆泥洹。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-dong-zhongshu-five-phases-governance,dong-zhongshu,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》第五十八,lzh,天地之气，合而为一，分为阴阳，判为四时，列为五行。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-dong-zhongshu-heaven-warns-ruler,dong-zhongshu,src-hanshu-dongzhongshu-ctext,《汉书·董仲舒传》所录天人三策第三策，论灾异谴告段,zh-Hant,国家将有失道之败，而天乃先出灾害以谴告之；不知自省，又出怪异以警惧之；尚不知变，而伤败乃至。,2026-07-17,locator-reviewed,classical-2026-07-14-a,classical-2026-07-14-a
ex-rel-dong-heaven-warnings-five-phases-1,dong-zhongshu,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》,zh-Hans-modern,天地之气，合而为一，分为阴阳，判为四时，列为五行。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-rel-dong-liuzongyuan-heaven-human-1,dong-zhongshu,src-liuzongyuan-tianshuo,《天说》功祸自致段,zh-Hans-modern,功者自功，祸者自祸，欲望其赏罚者大谬。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-rel-dong-zhou-dunyi-correlative-cosmos-1,dong-zhongshu,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》,zh-Hans-modern,分为阴阳，判为四时，列为五行。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-ultimate-qh-cc-01-dong-warning-jiang-legitimacy-1,dong-zhongshu,src-hanshu-dongzhongshu-ctext,《汉书·董仲舒传》所录天人三策第三策，论灾异谴告段,zh-Hans-modern,国家将有失道之败，而天乃先出灾害以谴告之；不知自省，又出怪异以警惧之；尚不知变，而伤败乃至。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-ultimate-qh-cc-02-dong-warning-wanghui-power-1,dong-zhongshu,src-hanshu-dongzhongshu-ctext,《汉书·董仲舒传》所录天人三策第三策，论灾异谴告段,zh-Hans-modern,国家将有失道之败，而天乃先出灾害以谴告之；不知自省，又出怪异以警惧之；尚不知变，而伤败乃至。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-ultimate-qh-cc-03-dong-phases-robin-generativity-1,dong-zhongshu,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》第五十八,zh-Hans-modern,天地之气，合而为一，分为阴阳，判为四时，列为五行。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-ultimate-qh-cc-04-dong-phases-tu-anthropocosmic-1,dong-zhongshu,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》第五十八,zh-Hans-modern,天地之气，合而为一，分为阴阳，判为四时，列为五行。,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-density-c-11c7fab7ee1e4b-1,du-shun,wang-daiyu-zhengjiao,《正教真诠》上卷〈真一〉首段,zh-Hans-modern,真一無似，非空非有，既無方所，又無形象；乃萬有之原，而不在萬有之中。,2026-07-17,locator-reviewed,density-low-degree-agent-2026-07-17,density-low-degree-agent-2026-07-17
ex-du-shun-emptiness-form-nonobstruction,du-shun,src-dushun-fajieguan-attributed,"T45, no. 1883, p. 672a-b，〈真空觀第一·會色歸空觀〉",zh-Latn-buddhist-classical,色即是空。何以故？色不即斷空故，色舉體是真空故。,2026-07-17,locator-reviewed,codex-medieval-source-review-2,codex-medieval-source-review-2
ex-rel-dushun-fazang-huayan-1,du-shun,src-fazang-huayan-yicheng,T45 no.1866卷四十玄门,zh-Hans-modern,一即一切，一切即一。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-density-c-15e7a0559152da-1,duke-zhou,src-zhengxuan-liji-liji,《禮記鄭氏注》卷十〈禮器第十〉，“禮也者猶體也”章郑注,zh-Hans-modern,禮也者，猶體也。體不備，君子謂之不成人。,2026-07-17,locator-reviewed,density-low-degree-agent-2026-07-17,density-low-degree-agent-2026-07-17
ex-duke-zhou-textual-image-bright-virtue-cautious-punishment,duke-zhou,src-shangshu-zhoushu-ctext,《尚书·周书·康诰》“惟乃丕显考文王”段,lzh,惟乃丕显考文王，克明德慎罚，弗敢侮鳏寡。,2026-07-17,locator-reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a
ex-rel-dukezhou-textual-image-hanyu-genealogy-1,duke-zhou,src-shangshu-zhoushu-ctext,《尚书·康诰》“克明德慎罚”段,zh-Hans-modern,惟乃丕显考文王，克明德慎罚，弗敢侮鳏寡。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-density-negative-41-fan-zhen-mind-function-of-body-ge-hong-immortality-learnable-1,fan-zhen,src-gehong-baopuzi-neipian,《抱朴子內篇》卷二〈論仙〉、卷三〈對俗〉辨“仙人有種”段,zh-Hans-modern,夫求長生，修至道，訣在於志，不在於富貴也……仙人有種乎？然，何可學得乎？,2026-07-17,locator-reviewed,codex-negative-density-2026-07-17,codex-negative-density-2026-07-17
ex-fan-zhen-mind-function-of-body,fan-zhen,src-fanzhen-shenmie,《梁書》卷四十八〈儒林·范縝傳〉所载〈神滅論〉开篇问答,zh-Latn-classical,形者神之質，神者形之用……神之於質，猶利之於刃；形之於用，猶刃之於利……豈容形亡而神在？,2026-07-17,locator-reviewed,codex-medieval-source-review-2,codex-medieval-source-review-2
ex-density-negative-45-fang-dongmei-universe-living-field-feng-youlan-true-real-realm-1,fang-dongmei,iep-feng-youlan,"Philosophy, paragraph 2; section 3, paragraph 1",zh-Hans-modern,"the True Realm is ‘first,’ not temporally but ontologically",2026-07-17,locator-reviewed,codex-negative-density-2026-07-17,codex-negative-density-2026-07-17
ex-fang-dongmei-universe-living-field,fang-dongmei,src-fang-dongmei-chinese-life-quoted,《中国人生哲学》1985年第6版，第114—115页；网页注xiv所引段落,zh-Hant-modern,宇宙在我們看來，並不只是一個機械物質活動的場合，而是普遍生命流行的境界……世界上沒有一件東西真正是死的。,2026-07-17,locator-reviewed,codex-zen-modern-source-review,codex-zen-modern-source-review
ex-modern-density-fang-tang-teacher-huayan-1,fang-dongmei,sep-modern-confucianism-expansion-2023,"section 1, paragraph 11; bibliography entry on Fang, Tang, and Huayan",zh-Hans-modern,"he said his teacher was Fang Dongmei, not Xiong",2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-modern-density-fang-tu-living-cosmos-1,fang-dongmei,tu-ecological-turn-2001,"Daedalus 130.4 (2001), p. 244",zh-Hans-modern,the human is embedded in the cosmic order,2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-fang-yizhi-empirical-investigation-of-things,fang-yizhi,src-fangyizhi-wulixiaoshi-preface,《物理小识·自序》开篇界定质测段,lzh,物有其故，实考究之，大而元会，小而草木螽蠕，类其性情，征其好恶，推其常变，是曰质测。,2026-07-17,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,codex-ultimate-candidate-expansion-2026-07-17
